book,author,concept_slug,status,pred_strength,truth_strength,rationale
The Little Book That Beats the Market,Joel Greenblatt,margin_of_safety,FP,1.0,,"The book's core premise is buying good companies at bargain prices, directly embodying the margin of safety principle of purchasing below intrinsic value."
The Little Book That Beats the Market,Joel Greenblatt,passive_vs_active_portfolio_management,FP,0.5,,"Greenblatt contrasts his systematic formula approach with both passive indexing and active professional management, explaining why most managers fail to beat the market."
The Little Book That Beats the Market,Joel Greenblatt,price_formation_and_market_efficiency,FP,0.5,,"The book addresses why the formula continues to work even when widely known, touching on market efficiency and why success eludes most investors."
The Little Book That Beats the Market,Joel Greenblatt,intrinsic_value_estimation,FP,1.0,,"The 'magic formula' centers on buying good companies at bargain prices, which requires estimating what a company is worth relative to its price."
The Little Book That Beats the Market,Joel Greenblatt,portfolio_rebalancing,FN,,1.0,
The Little Book That Beats the Market,Joel Greenblatt,financial_statement_analysis,FN,,0.5,
The Little Book That Beats the Market,Joel Greenblatt,diversification,FN,,0.5,
The Little Book That Beats the Market,Joel Greenblatt,emotional_discipline,FN,,0.5,
The Little Book That Beats the Market,Joel Greenblatt,backtesting_and_strategy_validation,FN,,0.5,
The Alchemy of Finance,George Soros,intrinsic_value_estimation,FP,0.5,,"The book presents a theoretical framework for understanding asset values that departs from classical valuation, touching on how prices relate to underlying economic realities."
The Alchemy of Finance,George Soros,backtesting_and_strategy_validation,FN,,0.5,
The Alchemy of Finance,George Soros,interest_rates_and_monetary_policy,FN,,1.0,
The Alchemy of Finance,George Soros,credit_debt_and_financial_crises,FN,,1.0,
The Alchemy of Finance,George Soros,market_structure_and_regime_identification,FN,,1.0,
Come Into My Trading Room,Alexander Elder,chart_patterns_and_price_action,FP,0.5,,"The book covers technical analysis broadly as part of trading methodology, which typically includes chart patterns in Elder's framework."
Come Into My Trading Room,Alexander Elder,asset_classes_and_financial_instruments,FP,0.5,,"The book reviews the basics of trading stocks, futures, and options as part of its comprehensive introduction."
Come Into My Trading Room,Alexander Elder,risk_reward_and_expectancy,FP,0.5,,Money management strategy and trade profitability are substantially covered as part of the 'Money' pillar.
Come Into My Trading Room,Alexander Elder,cognitive_biases,FP,0.5,,"As a practicing psychiatrist, Elder addresses psychological tactics including the cognitive pitfalls that affect traders' decision-making."
Come Into My Trading Room,Alexander Elder,journaling_and_performance_review,FN,,1.0,
Come Into My Trading Room,Alexander Elder,drawdown_management,FN,,1.0,
Come Into My Trading Room,Alexander Elder,backtesting_and_strategy_validation,FN,,1.0,
Come Into My Trading Room,Alexander Elder,exposure_and_concentration_limits,FN,,1.0,
Come Into My Trading Room,Alexander Elder,market_structure_and_regime_identification,FN,,1.0,
The Outsiders,William Thorndike,financial_statement_analysis,FP,0.5,,"Evaluating the exceptional financial performance of these firms requires analysis of cash flows, margins, and returns on capital across their tenures."
The Outsiders,William Thorndike,passive_vs_active_portfolio_management,FP,0.5,,"The book implicitly contrasts active, unconventional CEO capital allocation against conventional benchmarks, touching on active management philosophy vs. passive benchmarking."
The Outsiders,William Thorndike,intrinsic_value_estimation,FP,0.5,,The outsider CEOs are known for their focus on per-share intrinsic value and owner earnings as a framework for capital allocation decisions.
The Outsiders,William Thorndike,process_oriented_decision_making,FN,,0.5,
All About Asset Allocation,Richard Ferri,inflation_and_purchasing_power,FN,,0.5,
All About Asset Allocation,Richard Ferri,emotional_discipline,FN,,1.0,
Lords of Finance,Liaquat Ahamed,market_participants_and_incentives,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",market_participants_and_incentives,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",risk_reward_and_expectancy,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",exposure_and_concentration_limits,FN,,0.5,
Security Analysis,"Benjamin Graham, David Le Fevre Dodd",price_formation_and_market_efficiency,FN,,0.5,
This Time Is Different,"Carmen M. Reinhart, Kenneth S. Rogoff",interest_rates_and_monetary_policy,FN,,0.5,
Investment Valuation,Aswath Damodaran,margin_of_safety,FP,0.5,,Valuation uncertainty and conservative assumptions are implicitly covered when teaching investment valuation methodologies.
Investment Valuation,Aswath Damodaran,leverage_and_margin_risk,FN,,0.5,
Investment Valuation,Aswath Damodaran,credit_debt_and_financial_crises,FN,,0.5,
Investment Valuation,Aswath Damodaran,probabilistic_thinking_and_uncertainty,FN,,1.0,
Investment Valuation,Aswath Damodaran,interest_rates_and_monetary_policy,FN,,0.5,
Investment Valuation,Aswath Damodaran,price_formation_and_market_efficiency,FN,,1.0,
Financial Shenanigans,"Howard M. Schilit, Yoni Engelhart, Jeremy Perler",process_oriented_decision_making,FN,,0.5,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",business_quality_and_competitive_advantage,FN,,0.5,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",asset_classes_and_financial_instruments,FN,,0.5,
International Financial Statement Analysis,"Thomas R. Robinson, Elaine Henry, Wendy L. Pirie, Michael A. Broihahn",credit_debt_and_financial_crises,FN,,0.5,
Quantitative Trading,Ernie Chan,stop_loss_and_exit_rules,FN,,0.5,
Quantitative Trading,Ernie Chan,leverage_and_margin_risk,FN,,1.0,
Quantitative Trading,Ernie Chan,drawdown_management,FN,,0.5,
Margin of Safety,Seth A. Klarman,business_quality_and_competitive_advantage,FP,0.5,,Value investing philosophy typically involves evaluating business quality and durability as part of the investment assessment process.
Margin of Safety,Seth A. Klarman,cognitive_biases,FP,0.5,,"The book explicitly addresses avoiding investment fads, which involves understanding the behavioral and cognitive errors that lead investors astray."
Margin of Safety,Seth A. Klarman,asset_allocation,FP,0.5,,The description explicitly mentions portfolio management advice as a covered topic.
Margin of Safety,Seth A. Klarman,risk_return_tradeoff,FN,,1.0,
Margin of Safety,Seth A. Klarman,credit_debt_and_financial_crises,FN,,0.5,
Margin of Safety,Seth A. Klarman,emotional_discipline,FN,,1.0,
Margin of Safety,Seth A. Klarman,process_oriented_decision_making,FN,,1.0,
Margin of Safety,Seth A. Klarman,execution_quality_and_trade_implementation,FN,,0.5,
Evidence-Based Technical Analysis,David Aronson,momentum_and_technical_indicators,FP,0.5,,"Technical trading signals and rules are the subject of evaluation throughout the book, indicating meaningful coverage of technical indicators and signal-based approaches."
Evidence-Based Technical Analysis,David Aronson,system_iteration_and_continuous_improvement,FN,,1.0,
Evidence-Based Technical Analysis,David Aronson,price_formation_and_market_efficiency,FN,,0.5,
The Most Important Thing,Howard Marks,market_structure_and_regime_identification,FP,1.0,,Marks is described as judging market cycles and identifying market conditions to achieve returns through aggressive yet measured action.
The Most Important Thing,Howard Marks,drawdown_management,FP,0.5,,"Defensive investing and protecting capital from ruin are recurring themes, suggesting meaningful coverage of surviving adverse conditions."
The Most Important Thing,Howard Marks,process_oriented_decision_making,FN,,1.0,
The Most Important Thing,Howard Marks,passive_vs_active_portfolio_management,FN,,0.5,
The Most Important Thing,Howard Marks,risk_reward_and_expectancy,FN,,1.0,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,business_quality_and_competitive_advantage,FP,0.5,,"The updated edition includes a chapter on value investing, which involves evaluating business quality and competitive positioning."
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,intrinsic_value_estimation,FP,0.5,,Value investing coverage implies discussion of estimating intrinsic value and what stocks are worth based on fundamentals.
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,price_formation_and_market_efficiency,FP,0.5,,"As a definitive guide to stock market behavior and past trends, the book addresses how market prices are formed and efficiency-related concepts."
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,credit_debt_and_financial_crises,FP,0.5,,The book covers black swan events including the financial crisis and their long-run impact on equity markets.
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,backtesting_and_strategy_validation,FN,,0.5,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,economic_indicators_and_data_interpretation,FN,,1.0,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,leverage_and_margin_risk,FN,,0.5,
"Stocks for the Long Run: The Definitive Guide to Financial Market Returns & Long-Term Investment Strategies, Sixth Edition",Jeremy J. Siegel,earnings_growth_and_profitability_drivers,FN,,0.5,
