corpus_row,google_volume_id,title,author,publisher,publication_year,source,reason,red_flags
265,0UIUAQAAMAAJ,Timing the Market,Curtis M. Arnold,,1993,metadata_only,"The book covers technical analysis for market timing, which is directly relevant to Atlas's scope of trading and financial markets. However, there is no web evidence, no ratings, no publisher listed, and the description uses self-promotional language that reduces confidence. Curtis Arnold is a known technical analyst author (PPS Trading System), but without corroborating evidence this book warrants human review before inclusion.","no publisher listed; self-promotional description language ('groundbreaking', 'one of the best-written'); no web evidence found; 1993 publication may be outdated"
267,BJUpAQAAMAAJ,Financial Futures,"Carroll R. Melton, Terry Vance Pukula",,1984,metadata_only,"This 1984 book covers interest rate risk management using financial futures, which is relevant to Atlas's domain, but it is highly dated and predates modern derivatives markets significantly. No publisher, ratings, or web evidence exist to establish credibility or impact, and the authors are not recognizable figures in finance. Given the age and lack of any supporting evidence, a human review is warranted before keeping or dropping.",no publisher listed; 1984 publication date — highly dated; no web evidence or ratings found; unknown authors with no verifiable credentials
269,rvMJAQAAMAAJ,Global Investment Risk Management,Ezra Zask,,1993,metadata_only,"Ezra Zask is a credible finance professional known for work on derivatives and risk management, and the title is directly relevant to global investment risk — a core Atlas topic. However, with no web evidence, no ratings, no publisher information, and a 1993 publication date, there is insufficient signal to confirm quality or current relevance. A human review is warranted to determine whether this is a foundational specialist text or an obscure dated work.",no web evidence found; no publisher listed; 1993 publication may be dated; no ratings or reviews available
283,jH5AAQAAIAAJ,Takeovers and Freezeouts,"Martin Lipton, Erica H. Steinberger",,1978,metadata_only,"Martin Lipton is a highly credible author — a legendary M&A lawyer and founding partner of Wachtell Lipton — which lends this work authority in corporate takeover law. The subject matter (takeovers and freezeouts) is relevant to M&A investing and corporate finance but is primarily a legal treatise rather than an investing/trading guide. Without web evidence, ratings, or publisher confirmation, and given the 1978 date making content potentially outdated, a human review is warranted to determine if this legal reference remains relevant to Atlas's scope.",no web evidence; no publisher info; no rating data; 1978 publication may be outdated
284,WKowAQAAMAAJ,The New Science of Asset Allocation,Warren E. Bitters,Routledge,1997,metadata_only,"The topic — asset allocation for investment managers — is highly relevant to Atlas's scope, and Routledge is a credible academic publisher. However, Warren E. Bitters is an obscure author with no web presence or ratings evidence found, making quality assessment impossible from metadata alone. The 1997 publication date raises concerns about currency given the evolution of asset allocation methods since then. A human review is warranted to verify the author's credentials and the book's ongoing relevance.",unknown author; no web evidence; no ratings available; 1997 publication may be outdated
285,pyIUAQAAMAAJ,Managing Pension Funds in a Volatile Environment,Patrick J. Davey,,1988,metadata_only,"This 1988 book on pension fund management is topically relevant to institutional investing and portfolio management in financial markets. However, there is no web evidence, no publisher information, no ratings, and the author Patrick J. Davey is not recognizable as a canonical figure in the field. The age of the publication and lack of any corroborating evidence make it impossible to assess quality or influence confidently, warranting human review.",no web evidence; no publisher listed; 1988 publication may be outdated; unknown author
289,0M7m5EhDRFsC,Three Essays on Behavioral Finance,Gabriele M. Lepori,,2008,metadata_only,"This appears to be an academic dissertation or thesis (2008) on behavioral finance, which is directly relevant to financial markets. However, there is no publisher, no ratings, no reviews, and no web evidence to assess its quality or influence. Without evidence of citations, readership, or broader recognition, it cannot be confidently placed above REVIEW_C.",likely a doctoral dissertation or academic thesis; no publisher listed; no ratings or reviews found; no web evidence available
290,1KdHAAAAYAAJ,Psychological Traits and Trading Strategies,Bruno Biais,,2002,metadata_only,"Bruno Biais is a credible academic finance researcher (Toulouse School of Economics) known for work in market microstructure and behavioral finance, lending some credibility to this title. However, the lack of publisher, ratings, description, or any web evidence strongly suggests this is a working paper, conference paper, or unpublished manuscript rather than a commercially published book. The topic of psychological traits and trading strategies is directly relevant to Atlas's scope, but insufficient evidence exists to confidently tier this as a full book worthy of inclusion.",no publisher listed; no ratings or reviews found; likely an academic working paper or conference paper rather than a book; year 2002 with no web evidence suggests limited distribution
292,FnwrAQAAMAAJ,Counterintuitive Investing,Harlan D. Platt,Thomson South-Western,2005,metadata_only,"This 2005 book on contrarian investing strategies is relevant to the Atlas domain but has no ratings, no web evidence, and no visible presence on reputable reading lists. The author (Harlan D. Platt) is an academic at Northeastern and the publisher (Thomson South-Western) is credible, but without any community signal or citation evidence it is impossible to confirm whether this is a valuable specialist text or a forgettable academic work. A human review is warranted before keeping or dropping.",no web evidence found; no ratings available; obscure author with limited public profile; published by minor academic press imprint in 2005 with no follow-up visibility
300,C_YJAQAAMAAJ,From Early Warning Systems to Asset Managers' Behavior,Daniela Beckmann,"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften",2007,metadata_only,"This appears to be an academic dissertation or monograph published by Peter Lang (a known academic press for dissertations) covering early warning systems for financial crises and asset manager behavior — topics relevant to financial markets and macro. However, there is no web evidence, no ratings, and no indication of broader readership or citation impact. Without evidence of influence or adoption on reading lists, this remains uncertain and warrants human review rather than a confident keep or drop.",academic monograph from niche publisher; no web evidence; no ratings or reviews found; narrow academic scope
307,duUJAQAAMAAJ,A Practical Guide to Sovereign Wealth Funds,Adnan Hassan,Euromoney Publications,2009,metadata_only,"Published by Euromoney Publications, a credible specialist financial publisher, which lends some credibility to this 2009 guide on sovereign wealth funds. SWFs are relevant to macro and institutional investing, giving it moderate relevance to Atlas's scope. However, there is no rating data, no web evidence, and no manual annotations to confirm quality or reception. A human review is warranted to determine whether this is a substantive specialist reference or a thin overview.",no ratings or reviews found; no web evidence; niche topic with limited audience
308,FSG3AAAAIAAJ,"Banking, Financial Integration, and International Crises","Leonardo Hernández, Klaus Schmidt-Hebbel",,2002,metadata_only,"The title suggests academic/policy-oriented content on banking integration and international financial crises, which is relevant to macro and financial markets. Klaus Schmidt-Hebbel is a credible economist associated with the Central Bank of Chile and OECD work, lending some authority. However, with no publisher, no ratings, no description, and no web evidence, confidence is too low to assign a definitive tier. A human review is warranted to determine if this is a substantial edited volume or a minor working paper compilation.",no web evidence; no publisher listed; no rating or review data; no description
309,GIUnAQAAIAAJ,International Handbook of Development Economics,"Amitava Krishna Dutt, Jaime Ros",,2008,metadata_only,"This is a two-volume academic reference on development economics, a field adjacent to but distinct from Atlas's core scope of investing, trading, financial markets, and macro. While development economics has some macro overlap, the primary focus on economic development policy is low-relevance for Atlas users. No ratings or web evidence are available to assess quality, and no manual annotations exist, making a confident judgment difficult.",no rating data; development economics focus rather than investing/trading/markets/macro
313,jEyyAAAAIAAJ,International Trade and Business Cycles,Marianne Baxter,,1995,metadata_only,"Marianne Baxter is a credible academic economist known for work on international macroeconomics and business cycles (e.g., the Baxter-King filter), and the topic of international trade and business cycles is relevant to macro. However, this appears to be an academic working paper or book chapter rather than a standalone published book, with no publisher listed and no rating evidence. Without confirmation it is a full book rather than a paper, it warrants human review before inclusion.","appears to be an academic working paper or chapter, not a standalone book; no publisher listed; no ratings or reviews found; 1995 date suggests it may be a conference paper or NBER working paper"
322,QpxUcdX9rK0C,Tax Neutrality and Intangible Capital,"Don Fullerton, Andrew B. Lyon",,1987,metadata_only,"This appears to be a 1987 academic paper or NBER working paper by Don Fullerton and Andrew Lyon on tax neutrality and intangible capital — a narrow topic in public finance/tax economics. While the authors are credible economists (Fullerton is well-known in public finance), there is no evidence this is a standalone book with significant readership or relevance to Atlas's investing/trading/markets focus. Without publisher info, ratings, or web evidence, confidence is low and a human review is warranted.",no publisher listed; no ratings or reviews found; 1987 NBER working paper / academic paper rather than book; very narrow academic tax policy topic
329,JdgpAQAAMAAJ,Computerized Trading,Mark Jurik,Penguin Putnam,1999,metadata_only,"Mark Jurik is a known figure in technical analysis and algorithmic trading, and Penguin Putnam is a credible publisher, lending some legitimacy to this multi-contributor guide on computerized trading. The topic is highly relevant to Atlas's scope. However, no ratings or web evidence exist to confirm quality or reception, and the 1999 date means much of the content may be obsolete given how dramatically computerized trading has evolved. A human review is warranted to assess whether it retains canonical or historical value.",no ratings or reviews found; description uses mild hype ('ground-breaking'); 1999 publication may be outdated for computerized trading
333,Uu4JAQAAMAAJ,What Works in Online Trading,Mark Etzkorn,Wiley,2001,metadata_only,"Published by Wiley in 2001, which lends some credibility, but no ratings, reviews, or web evidence are available to assess reception. The book investigates online day trading practices from the early internet era, which limits its contemporary relevance given how dramatically markets and technology have changed. Without further evidence of canonical status or author reputation, a human review is warranted before keeping or dropping.",dated (2001); no web evidence found; no ratings available; day trading focus may be too narrow/niche
337,j-QbAQAAMAAJ,Emerging Governance Practices in Enterprise Risk Management,Matteo Tonello,,2007,metadata_only,"This appears to be a corporate governance/ERM report by Matteo Tonello, likely published by The Conference Board given his affiliation, focused on enterprise risk management practices at organizations. While ERM has some relevance to financial risk management, this report targets corporate governance practitioners rather than investors or traders. No ratings, reviews, or web evidence exist to assess quality or impact.",no web evidence; corporate governance report rather than investing/trading book; 2007 publication may be dated for ERM practices
341,GgIrEQAAQBAJ,Building Algorithmic Trading Systems,William Johnson,HiTeX Press,2024,metadata_only,"The book covers a highly relevant topic (algorithmic trading systems) and the description sounds substantive, covering data analysis, risk management, and ML/AI applications. However, HiTeX Press is an obscure publisher with no verifiable reputation, there is zero web evidence or community validation, and no ratings exist. Without any corroborating evidence of author credentials or community reception, this requires human review before keeping.",unknown publisher (HiTeX Press); no web evidence found; no ratings or reviews; 2024 publication with zero web presence; step-by-step guide framing edges toward introductory/beginner territory
342,QY0qEQAAQBAJ,Financial Econometrics,William Johnson,HiTeX Press,2024,metadata_only,"The topic (financial econometrics, volatility modeling, time series, options pricing) is highly relevant to Atlas's investing/markets scope. However, the publisher HiTeX Press is obscure, the author William Johnson has no verifiable credentials or web presence, and there is zero external evidence of the book's quality or adoption. The 'beginners and seasoned professionals' framing is a soft red flag but not disqualifying; this warrants human review rather than an automatic drop.",unknown publisher (HiTeX Press); unknown author with no web presence; 2024 publication with zero web evidence; description mentions 'beginners' as target audience
344,Hju3AAAAIAAJ,Market Microstructure and Market Liquidity,"Jun Muranaga, Tokiko Shimizu",,1999,metadata_only,"The topic — market microstructure and liquidity — is directly relevant to Atlas's scope, and the analytical approach (simulation model, efficiency/stability relationship) suggests a credible academic or policy-oriented work. However, no publisher information, no ratings, no web evidence, and no manual annotations are available, making quality assessment very uncertain. The authors appear to be associated with the Bank of Japan (a credible institutional context for 1999), but without corroborating evidence this warrants human review rather than a confident keep or drop decision.",
345,Wa4-rpTArC0C,Econometric Models of Limit-order Executions,"Andrew Wen-Chuan Lo, Archie Craig MacKinlay, June Zhang",,1997,metadata_only,"This appears to be an academic working paper (1997) by Andrew Lo and Craig MacKinlay (credible finance/econometrics authors) on limit-order execution modeling, which is directly relevant to market microstructure. However, the description is entirely mismatched — it discusses monetary shocks and business cycles, not limit orders — suggesting a metadata error. Without web evidence and with a garbled description, this cannot be confidently classified.","description mismatch: title is about limit-order executions but description discusses monetary policy/business cycle models; likely a working paper or academic paper, not a book; no publisher, no ratings, no web evidence"
346,TDu3AAAAIAAJ,Expectations and Market Microstructure when Liquidity is Lost,"Jun Muranaga, Tokiko Shimizu",,1999,metadata_only,"This appears to be a working paper or research memo by Bank of Japan researchers on market microstructure and liquidity evaporation, topics highly relevant to financial markets. However, there is no publisher, no ratings data, no web evidence, and no manual annotations, making quality assessment nearly impossible. The topic (price discovery halts, liquidity evaporation via simulation) is academically relevant but the document format is unclear — it may not qualify as a standalone book.",no publisher listed; no ratings or reviews found; appears to be a working paper or conference paper rather than a book; 1999 date suggests it may be a research memo
347,0i0-AQAAIAAJ,The Law and Economics of Best Execution,Jonathan R. Macey,,1997,metadata_only,"Jonathan R. Macey is a credible Yale law professor known for securities and corporate law scholarship, lending some credibility to this title. The topic of best execution in financial markets is relevant to trading and market microstructure. However, no web evidence, ratings, or publisher information is available, and the 1997 date makes it potentially dated. Without further evidence, this warrants human review rather than a confident keep or drop decision.",no web evidence; no publisher listed; no ratings or reviews
349,kMfvaoBR7CgC,The Flow of Information in Financial Markets,Allan A. Zebedee,,2001,metadata_only,"The title suggests relevance to market microstructure and information asymmetry in financial markets, which aligns with Atlas's scope. However, there is no web evidence, no publisher, no ratings, and the author Allan A. Zebedee is not recognizable as a prominent figure in the field. With metadata only, this cannot be confidently placed without human review.",no publisher listed; no web evidence found; no ratings or reviews; unknown author
351,5vPukh99wHkC,An Intraday Analysis of Stock Market Liquidity,Joe Lange,,1998,metadata_only,"The title suggests a niche academic or technical study on intraday stock market liquidity, which is relevant to trading and financial markets. However, there is no publisher, no ratings, no reviews, and no web evidence to assess quality or credibility. Without corroborating evidence of peer recognition, citation, or publication by a reputable press, this cannot be confidently kept or dropped and warrants human review.",no publisher listed; no ratings or reviews found; no web evidence; obscure or unpublished work
355,mDLHDRtFVEgC,Effects of Trading Halt System on Market Functioning,"Jun Muranaga, Tokiko Shimizu",,1999,metadata_only,"This appears to be an academic or working paper on market microstructure, specifically trading halt mechanisms and their effects on market functioning — a relevant but niche topic within financial markets. The authors Jun Muranaga and Tokiko Shimizu are likely affiliated with the Bank of Japan based on naming conventions and the 1999 timeframe, suggesting institutional credibility. However, with no publisher, no ratings, and no web evidence, it is impossible to assess quality or impact confidently. A human reviewer should determine whether this is a credible research paper worth including for specialist microstructure coverage.",no publisher listed; no ratings or reviews found; no web evidence
356,78EiAQAAMAAJ,An Ordered Probit Analysis of Transaction Stock Prices,"Jerry A. Hausman, Andrew Wen-Chuan Lo, Archie Craig MacKinlay",,1991,metadata_only,"This appears to be an academic research paper (likely an NBER working paper) by highly credible authors—Hausman, Lo, and MacKinlay are all prominent financial economists—on microstructure econometrics of transaction prices. However, it is almost certainly not a standalone book but rather a journal article or working paper, making it inappropriate for a book recommendation platform. Without publisher information, ratings, or web evidence confirming book status, this warrants human review rather than automatic retention or dropping.","appears to be an academic working paper/article, not a book; no publisher listed; no ratings or reviews found; 1991 date suggests this may be a NBER working paper"
362,57fuAAAAMAAJ,Financial Modelling,Andrzej M. J. Skulimowski,,1999,metadata_only,"Metadata-only assessment with no web evidence, no publisher, no description, and no ratings available for this 1999 book by Andrzej Skulimowski. The title 'Financial Modelling' is highly relevant to Atlas's investing/financial markets scope, but without any corroborating evidence of quality, readership, or canonical status, a confident tier assignment is not possible. Skulimowski appears to be an academic researcher in decision support and AI, but this specific work cannot be verified. Flagged for human review.",no publisher listed; no description available; no web evidence; 1999 publication with no ratings or reviews found
368,Tg9LAAAAYAAJ,Analysis of American and Canadian Securities for the Use of English Investors,Kenneth Ffarington Bellairs,,1874,metadata_only,"This is a 19th-century (1874) specialized text on North American securities for British investors, which is topically relevant to investing and financial markets. However, there is no web evidence, no ratings, no publisher information, and the author is obscure, making quality assessment extremely difficult. Its historical age may give it archival interest but limits practical relevance for a modern investing/trading recommender; a human should decide whether its historical value warrants inclusion.",no web evidence; obscure 19th-century text; no publisher info; no ratings or reviews
370,EmYPAQAAMAAJ,Modern Strategy for Successful Investing,"Keith V. Smith, David K. Eiteman",,1974,metadata_only,"This 1974 investing strategy book has no web evidence, no ratings, and no description to evaluate quality or relevance. David K. Eiteman is a credible finance academic known for international finance textbooks, lending some credibility. However, without further evidence of canonical status or continued relevance, a human review is warranted before inclusion.",no web evidence; no publisher listed; 1974 publication may be outdated for modern markets; no description available
372,ZEEPAQAAMAAJ,The Analysis of Financial Statements,Harry George Guthmann,,1925,metadata_only,"Harry George Guthmann was a respected finance professor at Northwestern, and early financial statement analysis texts from this era (like Graham's Security Analysis, 1934) can carry canonical weight. However, this 1925 text predates Graham and lacks any web evidence, ratings, or publisher confirmation to assess its current relevance or standing. Without evidence of continued citation or inclusion on reputable reading lists, it warrants human review rather than an automatic keep or drop.",very old (1925); no ratings or reviews found; no publisher listed; no description available
373,owAdAAAAIAAJ,Badger on Investment Principles and Practices,Ralph Eastman Badger,,1928,metadata_only,"Ralph Eastman Badger was a recognized academic in finance/investment during the early 20th century, and a 1928 text on investment principles has historical relevance to the investing domain. However, there is no web evidence, ratings, or publisher information to confirm quality or canonical status. Without corroborating evidence of its influence or standing on reading lists, this warrants human review rather than a confident keep or drop.",no ratings or reviews found; 1928 publication with no web evidence; no publisher information
375,VOC2AAAAIAAJ,Handbook of International Accounting,Frederick D. S. Choi,Wiley,1991,metadata_only,"Published in 1991 by Wiley and authored by Frederick Choi, a credible academic in international accounting, this is a legitimate reference work from a reputable publisher. However, the 1991 date means it predates major developments like IFRS convergence, making much of the technical content obsolete. Relevance to Atlas's investing/trading/markets/macro scope is moderate at best, as international accounting standards are more relevant to financial reporting than active investing or trading. Without ratings or web evidence, a human review is warranted to assess whether it retains canonical reference value.",1991 publication date — likely outdated for current accounting standards; no ratings or reviews found; no web evidence
376,vm5aAAAAYAAJ,Insurance Company Investment Management Handbook,"Edmund A. Mennis, Stanley D. Ryals",,1992,metadata_only,"This is a specialist handbook on insurance company investment management, which is tangentially relevant to institutional investing within Atlas's scope. Edmund Mennis had credibility as a CFA-affiliated author on investment topics, suggesting professional-grade content. However, with no ratings, no web evidence, no publisher information, and a 1992 publication date, there is insufficient evidence to confirm quality or continued relevance. A human review is warranted to determine if the content remains useful for institutional investing coverage.",no web evidence; no publisher listed; 1992 publication may be outdated for regulatory/investment guidance
382,uPxCAAAAIAAJ,Analyzing Financial Statements,Stephen Gilman,,1925,metadata_only,"Stephen Gilman's 1925 work on financial statement analysis is a historically early text in the field, predating Benjamin Graham's foundational works. Without web evidence, publisher info, or ratings, it is unclear whether this book has canonical status or is simply an obscure historical artifact. A human reviewer should assess whether it holds historical significance in financial analysis literature worth preserving in Atlas.",no web evidence; no publisher info; 1925 publication may be obsolete for modern financial analysis; no ratings or reviews found
385,X8NHAAAAIAAJ,The Analysis of Financial Statements,Aaron Morton Sakolski,,1923,metadata_only,"This 1923 text on financial statement analysis is historically early in the field, predating Benjamin Graham's foundational works. Aaron Morton Sakolski was a legitimate early 20th-century financial economist, but without web evidence or ratings it is unclear whether this book retains any canonical status or modern relevance. The topic is directly relevant to investing/financial analysis, but its age and lack of any supporting evidence warrant human review rather than a confident keep or drop decision.",no ratings or reviews found; very old (1923); no publisher information; no web evidence
386,ri79a3ckTX8C,Moody's Analyses of Railroad Investments,John Sherman Porter,,1926,metadata_only,"This is a 1926 Moody's railroad investment analysis reference volume, part of a historical annual series covering securities across multiple sectors. While Moody's is a credible financial institution with historical significance, this appears to be a dated reference/almanac rather than a broadly useful investing book. Without web evidence, ratings, or modern reading-list citations, a human should determine whether the historical archival value warrants inclusion in Atlas.",1926 publication date — historical artifact; no ratings or reviews found; no publisher identified; reference/almanac style annual rather than instructional investing book
388,P7ALAQAAIAAJ,Ratio Analysis of Financial Statements,"Alexander Wall, Raymond William Duning",,1928,metadata_only,"Alexander Wall is historically notable as a pioneer of ratio analysis in financial statement analysis, and this 1928 work is potentially a foundational text in the field. However, with no web evidence, no publisher, no description, and no ratings, it is impossible to confirm canonical status or current relevance. Given its age and niche historical significance, a human should decide whether it merits inclusion in Atlas's corpus.",no web evidence; very old publication (1928); no publisher listed; no description
389,21g6AQAAMAAJ,Investment Analysis,Walter Edwards Lagerquist,,1922,metadata_only,"This is a 1922 investment analysis text with no web evidence, ratings, or publisher information available. While the title is directly relevant to Atlas's scope, its extreme age likely renders its content obsolete for practical investing guidance. Without evidence of canonical status or continued academic citation, this warrants human review rather than automatic retention or dropping.",1922 publication — very dated; no publisher info; no web evidence or ratings; unknown author prominence
396,pVIUAQAAMAAJ,Analysis of Industrial Securities,Carl Kraft,,1930,metadata_only,"This 1930 text on industrial securities analysis is topically relevant to investing and financial markets, but Carl Kraft is not a recognized canonical figure and there is no web evidence, ratings, or publisher information to assess quality. The historical date and topic suggest it could be a legitimate early work in security analysis, but without corroborating evidence it cannot be confidently placed above REVIEW_C. A human should determine whether this book has historical significance or is simply an obscure, low-impact text.",no web evidence; unknown publisher; no ratings or reviews found; obscure author
400,gARFAAAAYAAJ,"Applied Commodity Price Analysis, Forecasting, and Risk Management",NCR-134 (Committee : U.S.). Conference,,1989,metadata_only,"This appears to be a 1989 conference proceedings volume from the NCR-134 Committee, an agricultural economics research group focused on commodity markets — topically relevant to commodity price analysis and risk management within Atlas's scope. However, there is no web evidence, no ratings, no publisher information, and no annotation history to assess quality or ongoing relevance. The age and niche academic nature warrant human review rather than an automatic keep or drop.",no publisher listed; conference proceedings from 1989; no web evidence found; committee/institutional authorship with no broader reputation signal
402,3NHs46dQsqcC,Market Integration and Price Execution for NYSE-listed Securities,Charles M. C. Lee,,1993,metadata_only,"Charles M. C. Lee is a respected finance academic known for market microstructure research, and the title suggests a scholarly work on NYSE price execution and market integration — directly relevant to trading/markets. However, with no publisher, no ratings, no description, and no web evidence, it is unclear whether this is a standalone book or an academic paper/dissertation from 1993. Insufficient evidence to confirm it merits a place in Atlas without human review.",no publisher listed; no description; no web evidence; likely academic paper or monograph rather than book
403,wP8fIoP0NrMC,Purchase of Order Flows and Favorable Executions,Charles M. C. Lee,,1991,metadata_only,"Charles M. C. Lee is a credible academic finance researcher known for market microstructure work, and the topic of order flow and trade execution is directly relevant to trading and financial markets. However, this 1991 entry appears to be an academic paper or working paper rather than a standalone book, given the lack of publisher, ratings, or any web evidence. Without confirmation that this is a book rather than an academic article, a human review is warranted.",no publisher listed; no ratings or reviews found; likely academic paper or working paper rather than a book
404,s55ya9gwYTQC,Optimal Execution of Multiasset Block Orders Under Stochastic Liquidity,"Naoki Makimoto, Yoshihiko Sugihara",,2010,metadata_only,"This appears to be an academic research paper rather than a book, covering optimal execution and market microstructure — highly relevant to trading and financial markets. The topic (multiasset block order execution under stochastic liquidity) is technically sophisticated and credible, but without publisher information, ratings, or web evidence it is impossible to confirm this is a standalone book suitable for Atlas. A human reviewer should determine whether this is a journal article or working paper rather than a tradeable book.","academic paper, not a book; no publisher or rating data; no web evidence"
413,ZB6hEQAAQBAJ,Crypto Market Microstructure,Victor Trex,HiTeX Press,2025,metadata_only,"The topic — crypto market microstructure covering AMMs, DEXs, and centralized order books — is highly relevant to Atlas's trading/markets scope, and the description is technically substantive rather than hyperbolic or beginner-oriented. However, the author Victor Trex and publisher HiTeX Press have no discoverable reputation or web presence, the book is brand new (2025) with zero ratings or reviews, and no corroborating evidence exists. Without any quality signal, this warrants human review rather than an automatic keep or drop.",unknown author (Victor Trex); unknown publisher (HiTeX Press); 2025 publication with zero web evidence; no ratings or reviews found
414,qi8izwEACAAJ,Optimal Trade Execution Under Stochastic Volatility and Liquidity,Patrick Cheridito,,2014,metadata_only,"This appears to be an academic working paper or preprint by Patrick Cheridito (a credible quantitative finance/mathematics professor) on optimal trade execution under stochastic volatility, which is directly relevant to algorithmic trading and market microstructure. However, without a publisher, ratings, or web evidence, it is unclear whether this is a standalone book or a research paper, warranting human review rather than a definitive keep or drop decision.",no publisher listed; appears to be a working paper or academic preprint rather than a published book; no web evidence or ratings
415,4MoazwEACAAJ,"Liquidity, Resiliency and Market Quality Around Predictable Trades",Hendrik Bessembinder,,2015,metadata_only,"Hendrik Bessembinder is a well-regarded finance academic known for market microstructure and asset pricing research, lending some credibility. However, this entry appears to be an academic working paper or journal article rather than a standalone book, with no publisher, no ratings, and no web evidence confirming book status. The topic (market microstructure, liquidity, ETF roll trades) is relevant to trading but the format makes it unsuitable for a book recommender without further verification.","appears to be an academic working paper/article, not a book; no publisher listed; no ratings or reviews"
416,QGzozgEACAAJ,Hidden Liquidity,Bidisha Chakrabarty,,2008,metadata_only,"This appears to be an academic working paper or research article rather than a proper book — the description reads like an abstract discussing hidden orders in electronic limit order books around earnings announcements. No publisher is listed, no ratings exist, and there is no web evidence to confirm it was published as a standalone book. The topic (hidden liquidity and order books) is relevant to market microstructure, but without confirmation it is a proper book, it cannot be reliably kept.","appears to be an academic paper/working paper, not a book; no publisher listed; no web evidence; 2008 date with no ratings suggests limited distribution"
