"google_volume_id","source_query","source_queries","source_start_index","source_result_index","global_rank","fetched_at","dedup_key","dedup_strategy","duplicate_count","title","subtitle","author","isbn_13","isbn_10","canonical_isbn_13","description","page_count","publication_year","published_date_raw","publisher","categories","language","cover_url","source","avg_rating","ratings_count"
"fxdqJjfjV8kC","risk management trading investing","risk management trading investing","0","18","18","2026-05-14T12:59:47+00:00","9780470024171","isbn_13_explicit","1","Credit Derivatives","Risk Management, Trading and Investing","Geoff Chaplin","9780470024171","0470024178","9780470024171","The credit derivatives market has developed rapidly over the lastten years and is now well established in the banking community andis increasingly making its presence felt in all areas of finance.This book covers the subject from credit bonds, asset swaps andrelated ‘real world’ issues such as liquidity, poordata, and credit spreads, to the latest innovations in portfolioproducts, hedging and risk management techniques. The bookconcentrates on practical issues and develops an understanding ofthe products through applications and detailed analysis of therisks and alternative means of trading. Credit Derivatives: RiskManagement, Trading and Investing provides: A description of the key products, applications, and ananalysis of typical trades including basis trading, hedging, andcredit structuring Analysis of the industry standard ‘default andrecovery’ and Copula models including many examples, and adescription of the models’ shortcomings Tools and techniques for the management of a portfolio or bookof credit risks including appropriate and inappropriate methods ofcorrelation risk management A thorough analysis of counterparty risk An intuitive understanding of credit correlation in reality andin the Copula model The CD in the back of this book includes an Evaluation Versionof Mathcad® 12 Single User Edition, which is reproduced bypermission. This software is a fully-functional trial of Mathcadwhich will expire 30 days from installation. For technical supportor more information see http://www.mathcad.com.","338","2005","2005-09-27","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=fxdqJjfjV8kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"hlDfEAAAQBAJ","risk management trading investing","risk management trading investing","0","19","19","2026-05-14T12:59:47+00:00","9780471650911","isbn_13_explicit","1","Trading Risk","Enhanced Profitability through Risk Control","Kenneth L. Grant","9780471650911","0471650919","9780471650911","Revolutionary techniques that traders can implement to improve profits and avoid losses No trader, professional or individual, can afford not to have a solid risk management program integrated into his or her trading system. But finding a precise mathematical model to replace subjective decision-making processes is a challenge. Traditionally, risk management has focused solely on loss avoidance, but in Trading Risk, hedge fund risk manager Kenneth Grant presents some-thing completely new—how to manage a portfolio to minimize risk and increase profits by putting more capital at risk. Trading Risk details a risk management program that can help both money managers and individual traders evaluate which elements in a portfolio are working efficiently and which aren’t. By illustrating an extremely simple set of statistical and arithmetic tools this book can help readers enhance their performance in many financial markets. Kenneth L.Grant is Cheyne’s Global Risk Manager, and is the Managing Member for Cheyne Capital, LLC, the firm’s U.S. arm. Mr. Grant is a pioneer in the field of hedge fund risk management and capital allocation. Before joining Cheyne, he created risk control programs at two of the world’s leading hedge funds, Tudor Investments and SAC Capital, where he was eventually promoted to the title of Chief Investment Strategist. Mr. Grant holds a Bachelor of Science in Economics and Mathematics from the University of Wisconsin, an MA in Economics from Columbia University, and an MBA from the University of Chicago Graduate School of Business.","277","2004","2004-09-16","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=hlDfEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"Ot4IEAAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","0","0","2026-05-14T12:59:52+00:00","9781119743712","isbn_13_explicit","1","Portfolio Management in Practice, Volume 1","Investment Management","CFA Institute","9781119743712","1119743710","9781119743712","Portfolio Management in Practice, Volume 1: Investment Management delivers a comprehensive overview of investment management for students and industry professionals. As the first volume in the CFA Institute’s new Portfolio Management in Practice series, Investment Management offers professionals looking to enhance their skillsets and students building foundational knowledge an essential understanding of key investment management concepts. Designed to be an accessible resource for a wide range of learners, this volume explores the full portfolio management process. Inside, readers will find detailed coverage of: Forming capital market expectations Principles of the asset allocation process Determining investment strategies within each asset class Integrating considerations specific to high net worth individuals or institutions into chosen strategies And more To apply the concepts outlined in the Investment Management volume, explore the accompanying Portfolio Management in Practice, Volume 1: Investment Management Workbook. The perfect companion resource, this workbook aligns chapter-by-chapter with Investment Management for easy referencing so readers can draw connections between theoretical content and challenging practice problems. Featuring contributions from the CFA Institute’s subject matter experts, Portfolio Management in Practice, Volume 1: Investment Management distills the knowledge forward-thinking professionals will need to succeed in today’s fast-paced financial world.","1329","2020","2020-11-11","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=Ot4IEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"JDjDCAAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","1","1","2026-05-14T12:59:52+00:00","9780857194831","isbn_13_explicit","1","Portfolio Management","A Market-Class guide to Investment Management","John Bonner, Marcus Rees, Edward Ivanovic","9780857194831","0857194836","9780857194831","Investing can seem simple, but there are an infinite number of ways to get to your goals and an infinite number of ways to fail. To sharpen your investment skills, this book guides you through the key aspects of the fund management profession, working from a macro-industry overview to the micro details of security-valuation techniques, combining the benefits of academic experience with decades of industry experience. This is something also found in the complementary online Market-Class investment simulator, where you can manage a $100m fund in a dynamic market and your decisions and those of fellow fund managers 'make the market'. A smart investor doesn't rely on luck or guts, but on learning as much as possible to make the best decisions. Portfolio Management and Market-Class, with their uniquely rich insight into the real-life workflow of portfolio management, are a vital component in any investor's education.","119","2015","2015-05-01","Harriman House Limited","Business & Economics","en","https://books.google.com/books/content?id=JDjDCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"7_vxEAAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","2","2","2026-05-14T12:59:52+00:00","9781119787969","isbn_13_explicit","1","Portfolio Management in Practice, Volume 2","Asset Allocation","CFA Institute","9781119787969","1119787963","9781119787969","Discover the latest essential resource on asset allocation for students and investment professionals. Part of the CFA Institute’s three-volume Portfolio Management in Practice series, Asset Allocation offers a deep, comprehensive treatment of the asset allocation process and the underlying theories and markets that support it. As the second volume in the series, Asset Allocation meets the needs of both graduate-level students focused on finance and industry professionals looking to become more dynamic investors. Filled with the insights and industry knowledge of the CFA Institute’s subject matter experts, Asset Allocation effectively blends theory and practice while helping the reader expand their skillsets in key areas of interest. This volume provides complete coverage on the following topics: Setting capital market expectations to support the asset allocation process Principles and processes in the asset allocation process, including handling ESG-integration and client-specific constraints Allocation beyond the traditional asset classes to include allocation to alternative investments The role of exchange-traded funds can play in implementing investment strategies An integrative case study in portfolio management involving a university endowment To further enhance your understanding of tools and techniques explored in Asset Allocation, don’t forget to pick up the Portfolio Management in Practice, Volume 2: Asset Allocation Workbook. The workbook is the perfect companion resource containing learning outcomes, summary overview sections, and challenging practice questions that align chapter-by-chapter with the main text.","647","2020","2020-12-10","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=7_vxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"SbIz2gRbrF4C","asset allocation portfolio management","asset allocation portfolio management","0","3","3","2026-05-14T12:59:52+00:00","9781416554035","isbn_13_explicit","1","Pioneering Portfolio Management","An Unconventional Approach to Institutional Investment, Fully Revised and Updated","David F. Swensen","9781416554035","1416554033","9781416554035","In the years since the now-classic Pioneering Portfolio Management was first published, the global investment landscape has changed dramatically -- but the results of David Swensen's investment strategy for the Yale University endowment have remained as impressive as ever. Year after year, Yale's portfolio has trumped the marketplace by a wide margin, and, with over $20 billion added to the endowment under his twenty-three-year tenure, Swensen has contributed more to Yale's finances than anyone ever has to any university in the country. What may have seemed like one among many success stories in the era before the Internet bubble burst emerges now as a completely unprecedented institutional investment achievement. In this fully revised and updated edition, Swensen, author of the bestselling personal finance guide Unconventional Success, describes the investment process that underpins Yale's endowment. He provides lucid and penetrating insight into the world of institutional funds management, illuminating topics ranging from asset-allocation structures to active fund management. Swensen employs an array of vivid real-world examples, many drawn from his own formidable experience, to address critical concepts such as handling risk, selecting advisors, and weathering market pitfalls. Swensen offers clear and incisive advice, especially when describing a counterintuitive path. Conventional investing too often leads to buying high and selling low. Trust is more important than flash-in-the-pan success. Expertise, fortitude, and the long view produce positive results where gimmicks and trend following do not. The original Pioneering Portfolio Management outlined a commonsense template for structuring a well-diversified equity-oriented portfolio. This new edition provides fund managers and students of the market an up-to-date guide for actively managed investment portfolios.","433","2009","2009-01-06","Simon and Schuster","Business & Economics","en","https://books.google.com/books/content?id=SbIz2gRbrF4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"QN4IEAAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","4","4","2026-05-14T12:59:52+00:00","9781119787976","isbn_13_explicit","1","Portfolio Management in Practice, Volume 2","Asset Allocation","CFA Institute","9781119787976","1119787971","9781119787976","Discover the latest essential resource on asset allocation for students and investment professionals. Part of the CFA Institute’s three-volume Portfolio Management in Practice series, Asset Allocation offers a deep, comprehensive treatment of the asset allocation process and the underlying theories and markets that support it. As the second volume in the series, Asset Allocation meets the needs of both graduate-level students focused on finance and industry professionals looking to become more dynamic investors. Filled with the insights and industry knowledge of the CFA Institute’s subject matter experts, Asset Allocation effectively blends theory and practice while helping the reader expand their skillsets in key areas of interest. This volume provides complete coverage on the following topics: Setting capital market expectations to support the asset allocation process Principles and processes in the asset allocation process, including handling ESG-integration and client-specific constraints Allocation beyond the traditional asset classes to include allocation to alternative investments The role of exchange-traded funds can play in implementing investment strategies An integrative case study in portfolio management involving a university endowment To further enhance your understanding of tools and techniques explored in Asset Allocation, don’t forget to pick up the Portfolio Management in Practice, Volume 2: Asset Allocation Workbook. The workbook is the perfect companion resource containing learning outcomes, summary overview sections, and challenging practice questions that align chapter-by-chapter with the main text.","647","2020","2020-01-11","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=QN4IEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"igZR2oxK-woC","asset allocation portfolio management","asset allocation portfolio management","0","5","5","2026-05-14T12:59:52+00:00","9780071719629","isbn_13_explicit","1","Mastering the Art of Asset Allocation, Chapter 10 - Sources of Information","","CFA Darst, David M.","9780071719629","0071719628","9780071719629","The following chapter comes from Mastering the Art of Asset Allocation, which focuses on the knowledge and nuances that will help you achieve asset allocation success. Asset allocation authority David Darst builds upon his bestselling The Art of Asset Allocation to explore every aspect of asset allocation from foundations through correlations, providing you with detailed techniques for understanding and implementing asset allocation in any portfolio.","78","2006","2006-09-21","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=igZR2oxK-woC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"q80oFFsiI3kC","asset allocation portfolio management","asset allocation portfolio management","0","6","6","2026-05-14T12:59:52+00:00","9780071593908","isbn_13_explicit","1","Asset Allocation, 4th Ed","","Roger C. Gibson","9780071593908","007159390X","9780071593908","The definitive guidebook for successful long-term investing The third edition of Roger C. Gibson's Asset Allocation: Balancing Financial Risk was released in 2000 on the heels of the biggest bull market in a century and amidst talk of a new economy. The bear market that followed was the worst since 1973-1974 and resulted in the destruction of roughly half of the stock market's value. Through it all, Roger Gibson's advice to investors remained the same. Gibson once again offers techniques to design all-weather portfolios that improve long-term performance, while mitigating overall risks through widely varying market environments. Grounded in the principles of modern portfolio theory, this fourth edition of his investing classic explains how and why asset allocation works. Gibson demonstrates how adding new asset classes to a portfolio improves its risk-adjusted returns and how strategic asset allocation uses, rather than fights, the forces of capital markets to achieve investment success. Gibson also addresses the practical side of investing, advocating an approach based on a disciplined execution of the fundamentals--the most important things that investment professionals and lay investors need to focus on to achieve their financial goals. With more than two decades of experience managing clients' portfolios and expectations, he underscores the importance of identifying and working through the emotional and psychological traps that can impede investment success. In this new edition, Gibson offers his proven guidance on multiple-asset-class investing with updated exhibits and research. New topics include: A review of the 2000-2002 stock bear market in the context of bull and bear markets over the last 100 years An expanded discussion of the dangers of market timing Non-traditional asset classes such as real estate securities, commodity-linked securities, and TIPS in a diversified portfolio The challenges of “frame-of-reference” risk--the most significant danger confronting the multiple-asset-class investor The role of Monte Carlo simulation in retirement planning","386","2008","2008-01-10","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=q80oFFsiI3kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","3","1"
"pUilEQAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","7","7","2026-05-14T12:59:52+00:00","9780470553008","isbn_13_explicit","1","Managing Your Firm's 401(k) Plan","A Complete Roadmap to Managing Today's Retirement Plans","Matthew X. Smith","9780470553008","0470553006","9780470553008","An objective resource for managing your firm's 401(k) plan With the recent uncertainty in the economy and financial markets, 401(k) plans are now under more scrutiny than ever. Written for finance and benefit professionals who are responsible for the management, operations, or oversight of their company's 401(k) plan, Managing Your Firm's 401(k) Plan offers a guide to designing and managing a 401(k) with a focus on financial, fiduciary, and regulatory standards. While there are plenty of books on 401(k) plans written for the individual investor, there are very few resources for professionals involved in 401(k) management. This book effectively fills that void It was specifically written for professionals involved in 401(k) management It includes regulatory and fiduciary information needed for compliance purposes It was created by experienced experts in the defined contribution plan arena Topics covered throughout this insightful guide include measuring retirement readiness, establishing plan governance, managing the plan's investment menu, monitoring record keeper performance, communicating effectively with employees, helping participants manage their retirement income, and much more.","261","2010","2010-09-07","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=pUilEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"R12JEQAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","8","8","2026-05-14T12:59:52+00:00","9789956003983","isbn_13_explicit","1","Modern Fund Management and Sustainable Development of Emerging Financial Markets","","Ephraim Matanda","9789956003983","9956003980","9789956003983","This book caters to a diverse audience, including students and lecturers in higher education, and professionals in banking, real estate, financial asset management, and provident fund organizations. Fund management is the comprehensive oversight of an entity’s financial resources and cash flow, ensuring the strategic deployment of assets for maximum efficiency and profitability. This discipline covers both tangible and intangible assets. In banking, a key function is aligning deposit maturity schedules with loan demands, requiring a deep understanding of liabilities and assets to optimize credit extension. Fund managers are crucial for ensuring liquidity, enabling financial institutions to offer credit and drive economic growth. They must meticulously analyse cost and risk to capitalize on cash flow opportunities. Their role is vital for national development, contributing to poverty eradication and reducing economic reliance on borrowed capital. Expertise in portfolio exposures and investment diversification is therefore essential. While often associated with financial investment management for clients, fund management is broader, encompassing financial, infrastructure, business, and public sectors. It can be classified by client type (business, corporate, personal) or investment type. Some funds are managed by hedge fund specialists using complex instruments. Fund management is a far-reaching financial discipline, tracking funds across all economic sectors.","244","2025","2025-09-24","African Books Collective","Social Science","en","https://books.google.com/books/content?id=R12JEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"kPfrA0qhG4AC","asset allocation portfolio management","asset allocation portfolio management","0","9","9","2026-05-14T12:59:52+00:00","9780071463348","isbn_13_explicit","1","Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns","Comprehensive Approaches to Managing Risk and Optimizing Returns","CFA David M. Darst","9780071463348","0071463348","9780071463348","Gain new insights into why asset allocation works and learn advanced investing strategies You know that asset allocation requires much more than cookie-cutter analysis. You want precise, detailed techniques for analyzing and applying asset allocation principles. The high-level, applications-oriented Mastering the Art of Asset Allocation examines the inner working of numerous asset allocation strategies and covers everything from ways to determine the portfolio value of various asset classes to insights into changing patterns of investment returns and standard deviations in different time periods and market environments.","554","2006","2006-09-21","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=kPfrA0qhG4AC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","5","1"
"_pZTS-QgMHcC","asset allocation portfolio management","asset allocation portfolio management","0","10","10","2026-05-14T12:59:52+00:00","9780471593737","isbn_13_explicit","1","Global Asset Allocation","Techniques for Optimizing Portfolio Management","Jess Lederman, Robert A. Klein","9780471593737","0471593737","9780471593737","Buying this book could be the smartest investment you make this season. If that sounds like a bold claim, just take a look at the list of contributors. In it you'll find the names of twenty-nine of the world's foremost experts in asset allocation. Over the course of twenty chapters, these accomplished institutional investors, academics, analysts, and traders school you in all of the hottest new portfolio management techniques now in use around the globe. Not another abstruse discourse on the theoretical pros and cons of asset allocation, Global Asset Allocation is a working, nuts-and-bolts guide for institutional investors. It outfits you with a set of versatile new tools and techniques designed to solve real-world problems and guide your portfolio management decision-making. While broad theoretical considerations are given their due, the lion's share of this book's coverage is commanded by cutting-edge technical issues such as mean variance optimization, allocating between styles of equity management, optimal fixed income portfolios, asset/liability forecasting, the critical time horizon, target asset allocation, and chaos theory. In addition to all of the traditional classes of asset allocations, Global Asset Allocation explores a number of new and emerging investment horizons. Foremost among these is ""the ultimate investment frontier,"" international markets, to which a sizeable portion of the book (all of Part Two) is devoted. You'll find in-depth discussions of the qualitative and quantitative aspects of global asset allocation, in which various experts describe the latest global asset allocation models, optimization methods, forecasting techniques, global bond and currency management strategies, risk and return analysis in country-to-country allocation strategies, active and passive management portfolio strategies, and much more. Offering world-class strategies for managing global portfolios, Global Asset Allocation is an essential resource for corporate finance professionals, pension plan sponsors, analysts, and portfolio managers looking to expand their repertoire of financial management skills. From asset liability forecasting and target asset allocation, to critical time horizon and implementing overlay strategies, this groundbreaking new guide educates institutional investors in state-of-the-art portfolio management strategies guaranteed to minimize risk while maximizing returns. Bringing you the combined insights and expertise of twenty-nine prominent investment experts from around the world, Global Asset Allocation is a working handbook, designed to guide your portfolio management decision-making and help you to solve real-world problems. * The latest asset allocation models, optimization methods, and forecasting techniques, including passive and active portfolio strategies * Includes six major chapters on global asset allocation, including currency management and emerging market investing Traders, portfolio managers...investment professionals of every ilk: read this book, and use the versatile new strategies, tools, and techniques it describes to give your investment skills a razor-sharp, winning edge.","400","1994","1994-09-30","Wiley","Business & Economics","en","https://books.google.com/books/content?id=_pZTS-QgMHcC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","3","1"
"cXsxQ1yzWwsC","asset allocation portfolio management","asset allocation portfolio management","0","11","11","2026-05-14T12:59:52+00:00","9780071454834","isbn_13_explicit","1","Core-Satellite Portfolio Management","","J. Clay Singleton","9780071454834","0071454837","9780071454834","Active versus passive portfolio management is the most important policy decision institutional investors must make. In Core- Satellite Portfolio Management, J. Clay Singleton address this dilemma with the all-new core-satellite approach, which draws on the strengths of each style while eliminating the weaknesses. Prominent practitioners, consultants, and academics then join with the author to reveal how the revolutionary core-satellite method will improve investment performance for virtually every major asset class.","614","2004","2004-12-22","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=cXsxQ1yzWwsC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"CWrD8aoKejYC","asset allocation portfolio management","asset allocation portfolio management","0","13","13","2026-05-14T12:59:52+00:00","9780071380515","isbn_13_explicit","1","Streetsmart Guide to Managing Your Portfolio","An Investor's Guide to Minimizing Risk and Maximizing Returns","Frank Yao","9780071380515","0071380515","9780071380515","This title provides investors with: professional portfolio tools; clear explanation of the concept of portfolio management; definition of risk and how to measure risk for your own needs; the best ways to monitor and measure your portfolio; and real-world examples.","312","2002","2002","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=CWrD8aoKejYC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","5","1"
"COQoNN7mAnsC","asset allocation portfolio management","asset allocation portfolio management","0","14","14","2026-05-14T12:59:52+00:00","9780470929902","isbn_13_explicit","1","The Theory and Practice of Investment Management","Asset Allocation, Valuation, Portfolio Construction, and Strategies","Frank J. Fabozzi, Harry M. Markowitz","9780470929902","0470929901","9780470929902","An updated guide to the theory and practice of investment management Many books focus on the theory of investment management and leave the details of the implementation of the theory up to you. This book illustrates how theory is applied in practice while stressing the importance of the portfolio construction process. The Second Edition of The Theory and Practice of Investment Management is the ultimate guide to understanding the various aspects of investment management and investment vehicles. Tying together theoretical advances in investment management with actual practical applications, this book gives you a unique opportunity to use proven investment management techniques to protect and grow a portfolio under many different circumstances. Contains new material on the latest tools and strategies for both equity and fixed income portfolio management Includes key take-aways as well as study questions at the conclusion of each chapter A timely updated guide to an important topic in today's investment world This comprehensive investment management resource combines real-world financial knowledge with investment management theory to provide you with the practical guidance needed to succeed within the investment management arena.","708","2011","2011-04-05","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=COQoNN7mAnsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"-JosEQAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","0","16","16","2026-05-14T12:59:52+00:00","9783031598197","isbn_13_explicit","1","Asset Management and Institutional Investors","Methods and Tools for Asset Allocation, Portfolio Management and Performance Evaluation","Ignazio Basile, Pierpaolo Ferrari","9783031598197","3031598199","9783031598197","This second edition of the book analyses the latest developments in investment management policy for institutional investors. It is divided into four parts, which have been updated to include the newest approaches and strategies in asset allocation, portfolio management and performance evaluation. The first part analyses the different types of institutional investors, i.e. institutions that professionally manage portfolios of financial and real assets on behalf of a wide range of individuals. This part goes on with an in-depth analysis of the economic, technical and regulatory characteristics of the various categories of investment funds and of other types of asset management products, which have a high rate of substitutability with investment funds and represent their natural competitors. The second part of the book identifies and investigates the stages of the investment portfolio management. Given the importance of strategic asset allocation in explaining the ex post performance of any type of investment portfolio, this part provides an in-depth analysis of asset allocation methods, illustrating the different theoretical and operational solutions available to institutional investors. The third part describes performance assessment, its breakdown and risk control, with an in-depth examination of performance evaluation techniques, returns-based style analysis approaches and performance attribution models. Finally, the fourth part deals with the subject of diversification into alternative asset classes, identifying the common characteristics and their possible role within the framework of investment management policy. This part analyses hedge funds, private equity, private debt, real estate, infrastructures, commodities and currency overlay techniques.","559","2024","2024-10-26","Springer Nature","Business & Economics","en","https://books.google.com/books/content?id=-JosEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
"KcbcDWIgzpQC","asset allocation portfolio management","asset allocation portfolio management","0","17","17","2026-05-14T12:59:52+00:00","9780071426695","isbn_13_explicit","1","Dynamic Portfolio Theory and Management","Using Active Asset Allocation to Improve Profits and Reduce Risk","Richard E. Oberuc","9780071426695","0071426698","9780071426695","Publisher Description","344","2004","2004","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=KcbcDWIgzpQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"mFLNUdvuE0kC","asset allocation portfolio management","asset allocation portfolio management","0","18","18","2026-05-14T12:59:52+00:00","9780071746601","isbn_13_explicit","1","Behavioral Investment Management: An Efficient Alternative to Modern Portfolio Theory","","Greg B. Davies, Arnaud de Servigny","9780071746601","0071746609","9780071746601","A Powerful New Portfolio-Management Standard for an Investing World in Disarray “Three years of losses turn many smart investors with 30-year horizons into frightened investors with three-year horizons, driven to poor decisions by cognitive errors and misleading emotions. Greg B. Davies and Arnaud de Servigny combine great expertise from research and practice into smart portfolios that overcome cognitive errors and misleading emotions and drive investors to their long term goals.” —MEIR STATMAN, Glenn Klimek Professor of Finance, Santa Clara University, and author of What Investors Really Want “The coming of age of behavioral finance. An important book which uniquely combines up-to-date knowledge of both behavioral and quantitative finance to provide practical models grounded on robust understanding of investors as well as investments.” —SHLOMO BENARTZI, professor and co-chair, Behavioral Decision Making Group, UCLA Anderson School of Management “This book is both erudite and profound, and it acutely addresses the issues, controversies, and received wisdom of our troubled investment times. To comprehend it requires a considerable time commitment, but it may be a new investment classic.” —BARTON M. BIGGS, Managing Partner, Traxis Partners “Behavioral Investment Management first shows how modern portfolio theory can be extended to incorporate behavioral biases in individual decision making, and then demonstrates how this extended theory can be implemented to make investment decisions in a world that is very different from that assumed by traditional portfolio theory. All of this is accomplished in a coherent fashion with the use of easy-to-understand mathematics and is illustrated with data for a wide range of asset classes.” —RAMAN UPPAL, professor of finance, EDHEC Business School About the Book: The past few years have been dreadful for investment management. The quantitative analytics that serve as the foundation of modern finance have proven to be incapable of providing value to investors. Modern Portfolio Theory now appears desperately old-fashioned and obsolete for one simple reason—it does not work. Picking up where traditional quant theory leaves off, Behavioral Investment Management offers a new approach to dynamic investing that addresses critical realities MPT ignores, including investors’ emotional impact on investing. Written by leading money managers with expertise in both quantitative and behavioral finance, this cutting-edge guide shows institutional investment managers, retail investors, and investment advisors how to use the latest theories and techniques from the field of behavioral finance to construct better-performing portfolios. After systematically deconstructing MPT to illustrate why it does not work empirically, this one-of-a-kind book presents a reasonable framework for improving your ability to generate high-performing portfolios. The applicability and strategic consequences of this book’s approach set a new standard for portfolio development that will put you far ahead of the industry curve. Complete with a new paradigm of best practices in dynamic portfolio construction that incorporates, and compensates for, the emotional reactions of investors, this hands-on book shows you how to: Move away from an idealized market view to a more authentic perspective Use the provided toolset and strategies to realize superior performance in real-world markets Seamlessly adapt the new approaches and techniques into your day-to-day operations This book helps you gain a distinct advantage by providing micro and macro implications of applying behavioral science to investing. In addition to helping you better understand the needs of the individual investor, it examines the wealth management and pension fund industries and explains how behavioral science can create opportunities in these two sectors. When making your next investment decision, let Behavioral Investment Management help you factor in the biggest financial variable—the human influence.","385","2012","2012-01-05","McGraw Hill Professional","Business & Economics","en","https://books.google.com/books/content?id=mFLNUdvuE0kC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"Ozt1OaXe5qwC","asset allocation portfolio management","asset allocation portfolio management","40","9","49","2026-05-14T12:59:53+00:00","9780679754923","isbn_13_explicit","1","The Practical Guide to Practically Everything","","Peter L Bernstein, Peter W. Bernstein, Christopher Ma","9780679754923","067975492X","9780679754923","The most successful and useful new almanac of the decade is back, with reams of new material to help readers make the most out of their lives in the coming year. This year's Practical Guide includes advice from more than 500 experts, including O.J. Simpson's jury consultant on the ins and outs of jury duty; Cal Ripken, Jr., on how to go from Little League to the majors; master chef Jacques Pepin on his favorite low-fat gourmet desserts; and C. Everett Koop on how to choose a doctor. Graphs, tables, charts & illustrations.","802","1996","1996-09-17","Random House","Political Science","en","https://books.google.com/books/content?id=Ozt1OaXe5qwC&printsec=frontcover&img=1&zoom=1&source=gbs_api","google_books","",""
"Q7IzEAAAQBAJ","asset allocation portfolio management","asset allocation portfolio management","40","15","55","2026-05-14T12:59:53+00:00","9781119817710","isbn_13_explicit","1","Asset Allocation","From Theory to Practice and Beyond","William Kinlaw, Mark P. Kritzman, David Turkington","9781119817710","1119817714","9781119817710","Discover a masterful exploration of the fallacies and challenges of asset allocation In Asset Allocation: From Theory to Practice and Beyond—the newly and substantially revised Second Edition of A Practitioner’s Guide to Asset Allocation—accomplished finance professionals William Kinlaw, Mark P. Kritzman, and David Turkington deliver a robust and insightful exploration of the core tenets of asset allocation. Drawing on their experience working with hundreds of the world’s largest and most sophisticated investors, the authors review foundational concepts, debunk fallacies, and address cutting-edge themes like factor investing and scenario analysis. The new edition also includes references to related topics at the end of each chapter and a summary of key takeaways to help readers rapidly locate material of interest. The book also incorporates discussions of: The characteristics that define an asset class, including stability, investability, and similarity The fundamentals of asset allocation, including definitions of expected return, portfolio risk, and diversification Advanced topics like factor investing, asymmetric diversification, fat tails, long-term investing, and enhanced scenario analysis as well as tools to address challenges such as liquidity, rebalancing, constraints, and within-horizon risk. Perfect for client-facing practitioners as well as scholars who seek to understand practical techniques, Asset Allocation: From Theory to Practice and Beyond is a must-read resource from an author team of distinguished finance experts and a forward by Nobel prize winner Harry Markowitz.","375","2021","2021-07-27","John Wiley & Sons","Business & Economics","en","https://books.google.com/books/content?id=Q7IzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","google_books","",""
