corpus_row,title,author,source,quality_tier,relevance_tier,confidence,keep_decision,judge_status,avg_rating_best,review_count_best,rating_source_best,evidence_urls,reason,red_flags,duplicate_group,suggested_canonical_title
49,Technical Analysis of Stock Trends,"Robert D. Edwards, John Magee, W.H.C. Bassetti",google_books,KEEP_A,high,high,keep,ok,4.2,494,goodreads,https://www.goodreads.com/work/editions/462874-technical-analysis-of-stock-trends; https://www.goodreads.com/work/editions/462874-technical-analysis-of-stock-trends; https://www.goodreads.com/book/show/474623.Technical_Analysis_of_Stock_Trends; https://www.amazon.com/Technical-Analysis-Trends-Robert-Edwards/dp/1138069418; https://www.taylorfrancis.com/books/mono/10.4324/9781315115719/technical-analysis-stock-trends-robert-edwards-john-magee-bassetti; https://www.routledge.com/Technical-Analysis-of-Stock-Trends/Edwards-Magee-Bassetti/p/book/9781032241821; https://www.amazon.com/Technical-Analysis-Trends-Robert-Edwards/dp/0814408648; https://www.barnesandnoble.com/w/technical-analysis-of-stock-trends-robert-d-edwards/1117191557; https://www.raptisrarebooks.com/product/technical-analysis-of-stock-trends-signed-first-edition-john-magee-robert-edwards-rare/,"Universally recognized as 'The Bible of Technical Analysis,' first published in 1948 by Edwards and Magee, this is one of the most foundational works in technical analysis and belongs in any serious investing/trading library. The 9th edition carries a 4.20 rating across 494 Goodreads reviews, with the 10th edition at 4.53, and multiple authoritative sources (Routledge, Taylor & Francis, rare book dealers) confirm its canonical status. Published by CRC Press/Routledge with credentialed authors/editor, there are no quality or relevance concerns. This is a canonical override candidate regardless of rating metrics.",,47,Technical Analysis of Stock Trends
50,Trader's Guide to Financial Markets and Technical Analysis,Jitender Yadav,google_books,REVIEW_C,high,low,review,ok,,,none,https://www.amazon.com/Traders-Financial-Markets-Technical-Analysis/dp/8170948517; http://www.visionbooksindia.com/details.asp?isbn=8170948517; https://www.flipkart.com/trader-s-guide-financial-markets-technical-analysis/p/itmdepnyhberrxgf; https://tradingqna.com/t/which-are-the-top-5-books-one-should-read-to-become-a-better-trader/200?page=2; https://www.abebooks.com/9788170948513/Traders-Guide-Financial-Markets-Technical-8170948517/plp; https://books.google.com/books/about/Trader_s_Guide_to_Financial_Markets_and.html?id=XLRFDwAAQBAJ,"This is a legitimate technical analysis and financial markets title from a credible Indian publisher (Vision Books, est. 1975) by an author with verifiable practitioner and academic credentials since 1993. However, there are no retrievable ratings or review counts, and recognition is limited to a single community mention on an India-focused trading forum, with no presence on major English-language investing reading lists. The content is highly relevant to Atlas's scope, but the lack of quality signals and narrow community footprint makes this a human-review candidate rather than a clear keep or drop.",no retrievable ratings or review counts; limited recognition outside Indian trading community; single reading-list mention on a niche forum,48,Trader's Guide to Financial Markets and Technical Analysis
51,Trading the Markets the Point & Figure way,Prashant Shah,google_books,KEEP_B,medium,low,keep,ok,,,none,https://www.goodreads.com/book/show/49699968-trading-the-markets-the-point-figure-way; https://www.amazon.com/Trading-Markets-Point-Figure-way/dp/1642492248; https://www.amazon.in/Trading-Markets-Point-Figure-way-ebook/dp/B07V5WH1F6; https://www.definedge.com/trading-the-markets-the-point-figure-way/; https://notionpress.com/in/read/trading-the-markets-the-point-figure-way/; https://www.thriftbooks.com/a/prashant-shah/2984472/,"The author holds credible professional credentials (CMT and CFTe) and is the founder of a legitimate market-software company, lending authority to this specialist work on Point & Figure charting. The book is substantive (390 pages) and positively reviewed in qualitative comments, though no aggregate numeric ratings were surfaced. Published by Notion Press (a hybrid/self-publisher), it is India-focused, limiting its relevance to a general investing audience. Qualifies as a credible specialist title warranting a KEEP_B rather than a higher tier, given the publication channel and regional scope.",self/hybrid publisher (Notion Press); India-specific market focus limits broader applicability; no numeric ratings surfaced,49,Trading the Markets the Point & Figure way
52,All About Candlestick Charting,Wayne A. Corbitt,google_books,KEEP_B,high,low,keep,ok,,,none,https://www.goodreads.com/book/show/11799655-all-about-candlestick-charting; https://www.goodreads.com/book/show/16986599-all-about-candlestick-charting; https://www.amazon.com/All-About-Candlestick-Charting/dp/0071763120; https://www.amazon.co.uk/All-About-Candlestick-Charting/dp/0071763120; https://www.bookdepository.com/All-About-Candlestick-Charting-Wayne-Corbitt/9780071763127,"Published by McGraw-Hill Professional in the reputable 'All About' series, authored by a Chartered Market Technician with credible industry experience, and endorsed by Gregory L. Morris, a recognized authority in candlestick analysis. The topic—candlestick charting for trading—is directly relevant to Atlas's scope. No ratings data is available to confirm quality quantitatively, but no red flags (summaries, hype, workbook) are present, and the credentials and publisher support a KEEP_B designation. Confidence is low due to the complete absence of reader ratings or reviews.",,50,All About Candlestick Charting
53,A Beginner's Guide To Technical Analysis,Three Candles Press,google_books,DROP_D,medium,high,drop,ok,4.1,11,amazon,https://www.amazon.com/Beginners-Guide-Technical-Analysis-Everything/dp/1916543049; https://www.amazon.com/Beginners-Guide-Technical-Analysis-Everything-ebook/dp/B0BZ9YLVVN; https://www.amazon.co.uk/Beginners-Guide-Technical-Analysis-Everything/dp/1916543049; https://www.barnesandnoble.com/w/a-beginners-guide-to-technical-analysis-three-candles-press/1143268968; https://www.thriftbooks.com/w/a-beginners-guide-to-technical-analysis-from-trends-to-trading-everything-you-need-to-know-to-make-money-from-the-financial-markets_three-candles-press/38513741/; https://books.google.com/books/about/A_Beginner_s_Guide_To_Technical_Analysis.html?id=BgjBzwEACAAJ,"This book triggers multiple hard red flags: 'beginner's guide' in the title, hyperbolic subtitle language ('make money from the financial markets'), and an anonymous self/micro-publisher with no verifiable credentials. The review footprint is negligible (11 Amazon ratings, no Goodreads entry), and no credible reading-list or citation evidence exists to override these disqualifying signals. DROP_D is the appropriate tier.","Title explicitly signals 'beginner's guide' — hard red flag; Subtitle contains 'make money from the financial markets' — hyperbolic/get-rich language; Author 'Three Candles Press' is an unverifiable self/micro-publisher pen name; Extremely thin review footprint (11 ratings total, no Goodreads presence); No credible finance reading-list mentions or citations found; Mass-produced KDP self-publishing pattern",51,A Beginner's Guide To Technical Analysis
54,The Trading Methodologies of W.D. Gann,Hima Reddy,google_books,REVIEW_C,medium,low,review,ok,3.29,17,goodreads,https://www.goodreads.com/author/show/7392248.Hima_Reddy; https://www.goodreads.com/book/show/18652680-the-trading-methodologies-of-w-d-gann; https://www.amazon.com/Trading-Methodologies-W-D-Gann-Technical/dp/0132734389; https://ptgmedia.pearsoncmg.com/images/9780132734387/samplepages/0132734389.pdf; https://books.google.com/books/about/The_Trading_Methodologies_of_W_D_Gann.html?id=Cm7H4m7bqmcC; https://www.amazon.com/Trading-Methods-W-D-Gann-Technical/dp/0578799804,"The book's Goodreads rating of 3.29 across only 17 ratings is below the threshold for confident retention, and the sole written review is dismissive. However, the author holds credible CMT credentials, FT Press (Pearson) is a reputable publisher, and the book is an original practitioner-authored guide rather than a summary or workbook. The thin evidence base and weak rating make a human review necessary before keeping or dropping.",very low Goodreads rating (3.29); extremely thin review base (17 ratings); one review calls it 'another failed attempt to decode Gann',52,The Trading Methodologies of W.D. Gann
55,Beyond Technical Analysis,Tushar S. Chande,google_books,KEEP_B,high,medium,keep,ok,3.58,3,goodreads,"https://www.goodreads.com/book/show/1643647.Beyond_Technical_Analysis; https://www.goodreads.com/author/show/759884.Tushar_S_Chande; https://www.amazon.com/Beyond-Technical-Analysis-Develop-Implement/dp/0471415677; https://enlightenedstocktrading.com/trading-books-beyond-technical-analysis/; https://www.amazon.co.uk/Tushar-Chande-Beyond-Technical-Analysis/dp/B00NBGKB4A; https://www.wiley.com/en-us/Beyond+Technical+Analysis:+How+to+Develop+and+Implement+a+Winning+Trading+System,+2nd+Edition-p-9780471415671; https://www.oreilly.com/library/view/beyond-technical-analysis/9780471415671/","Published by Wiley in their Trading series, authored by a credentialed CTA and Technical Analysis of Stocks & Commodities contributor, this is a substantive trading systems book with credible industry endorsements and positive qualitative reviews. The author-level Goodreads rating of 3.58 is weak evidence for this specific title, and review counts are very low, but the publisher, author credentials, and content focus (developing and forward-testing trading systems) all support retention. No red flags detected; the book is squarely relevant to Atlas's trading and technical analysis scope.",,53,Beyond Technical Analysis
56,Mapping the Markets,"Deborah Owen, Robin Griffiths",google_books,KEEP_B,high,low,keep,ok,3.1,2,amazon,https://www.goodreads.com/book/show/1524271.Mapping_the_Markets; https://www.goodreads.com/book/show/57325631-mapping-the-markets; https://www.amazon.com/Mapping-Markets-Guide-Market-Analysis/dp/1576602389; https://www.amazon.fr/Mapping-Markets-Guide-Market-Analysis/dp/1576602389; https://sacredtraders.com/product/mapping-the-markets-a-guide-to-stock-market-analysis-deborah-owen-robin-griffiths/; https://www.amazon.com.au/Mapping-Markets-Deborah-Owen/dp/1861979371; https://www.goodreads.com/author/list/711147.Deborah_Owen,"Published by Bloomberg Press/Wiley and authored by credentialed practitioners—Robin Griffiths was HSBC's senior technical analyst and later Head of Global Investment Strategy at Rathbones, and Deborah Owen is a Fellow of the Society of Technical Analysts—lending it strong author credibility. The book carries an endorsement from John Murphy, a highly respected technical analysis authority, and covers core Atlas topics (technical vs. fundamental analysis across equities, currencies, commodities, and interest rates). Quantitative rating data is essentially absent (only 2 Amazon ratings), so the tier is assigned primarily on author credentials, publisher reputation, and endorsement quality rather than community reception. No red flags detected.",,54,Mapping the Markets
57,Technical Analysis,Alan Northcott,google_books,DROP_D,medium,high,drop,ok,3.62,130,goodreads,https://www.goodreads.com/book/show/21811349-technical-analysis-a-newbies-guide; https://www.goodreads.com/author/list/1417313.Alan_Northcott; https://www.amazon.com/Technical-Analysis-Newbies-Guide-Financial/dp/149732937X; https://www.goodreads.com/book/show/22562447-technical-analysis-a-newbies-guide; http://alannorthcott.com/newbies-guide-to-technical-analysis/,"This self-published CreateSpace title explicitly targets beginners with 'Newbies' Guide' branding and carries multiple hard red flags including promotional language and no credible reading-list presence. The author's aggregate Goodreads rating of 3.62 across 130 ratings for 23 books indicates low overall readership and modest reception. No individual rating or review count exists for this specific title, and there is no evidence of professional or scholarly credibility. The combination of beginner-oriented branding, self-publishing, and weak author reputation warrants a DROP_D.",'Newbies' Guide' branding triggers beginner/for-dummies red flag; self-published via CreateSpace; promotional holiday pricing language in description; author aggregate rating only 3.62 across all works; no presence on reputable investing reading lists; no individual book rating available,55,Technical Analysis
58,1999 Writer's Market,"Mark Garvey, Holm",google_books,DROP_D,low,high,drop,ok,,,none,https://www.amazon.co.uk/Writers-Market-1999-Book-CD/dp/0898798558; https://www.amazon.com/1999-Writers-Market-Kirsten-Holm/dp/0898798507; https://www.thriftbooks.com/a/mark-garvey/298528/; https://www.goodreads.com/author/list/136885.Mark_Garvey,"This is a writer's submission market directory for authors seeking publishers and magazines — entirely unrelated to investing, trading, financial markets, or macroeconomics. It has no relevance to Atlas's domain whatsoever. Despite being a credible annual reference in its own field (Writer's Digest Books), it should be dropped on relevance grounds alone.",completely outside investing/trading/finance/macro scope; writer's market directory for authors seeking publication; outdated 1998 reference book,56,1999 Writer's Market
59,"Mastering the Trade, Third Edition: Proven Techniques for Profiting from Intraday and Swing Trading Setups",John F. Carter,google_books,KEEP_B,high,medium,keep,ok,4.02,773,goodreads,https://www.goodreads.com/book/show/57973.Mastering_the_Trade; https://www.amazon.com/Mastering-Trade-Third-Techniques-Profiting/dp/1260121593; https://www.goodreads.com/author/show/32631.John_F_Carter; https://www.amazon.com/Mastering-Trade-Third-Techniques-Profiting/dp/1260121593; https://www.goodreads.com/book/show/13654779-mastering-the-trade; https://www.goodreads.com/book/show/57973.Mastering_the_Trade,"A well-established practitioner guide on intraday and swing trading published by McGraw Hill Professional, with 773 Goodreads ratings averaging 4.02 and endorsements from credible trading figures like Mark Douglas. John F. Carter is a verifiable public figure with regular media appearances, lending credibility to the work. The third edition (2018) updates proven content for modern markets, keeping it relevant. The upsell concern is a minor criticism common to practitioner trading books and does not undermine the book's quality or relevance.",minor concern: some reviews note upsell to paid indicator products on author's website,57,"Mastering the Trade, Third Edition: Proven Techniques for Profiting from Intraday and Swing Trading Setups"
60,Trading For Dummies,"Michael Griffis, Lita Epstein",google_books,DROP_D,medium,high,drop,ok,3.38,187,goodreads,https://www.goodreads.com/book/show/17720525-trading-for-dummies; https://www.abebooks.com/9781118681183/Trading-Dummies-Series-Griffis-Michael-1118681185/plp; https://www.amazon.com/Trading-Dummies-Michael-Griffis/dp/1118681185; https://www.amazon.com/Trading-Dummies-Lita-Epstein/product-reviews/1119370310; https://books.google.com/books/about/Trading_For_Dummies.html?id=Ab5PAQAAQBAJ,"The 'For Dummies' branding signals a beginner/introductory guide, which is a soft red flag per Atlas policy. The aggregate Goodreads rating of 3.38/5 across ~187 ratings falls below the 3.50 threshold, providing weak quality signal. While the book has multiple editions and credentialed authors with StockCharts.com affiliations, it does not rise to the level of a canonical or specialist trading text warranting an override. Atlas is better served by more authoritative, practitioner-level trading references.",'For Dummies' beginner-oriented series; rating below 3.50 threshold; introductory/general audience framing,58,Trading For Dummies
61,The Market Guys' Five Points for Trading Success,"A. J. Monte, Rick Swope",google_books,REVIEW_C,medium,medium,review,ok,3.49,39,goodreads,https://www.goodreads.com/book/show/1794587.The_Market_Guys_Five_Points_for_Trading_Success; https://www.amazon.com/Market-Guys-Points-Trading-Success/dp/0470138971; https://www.amazon.com/market-trading-success-identify-pinpoint/dp/B001XGKSVQ; https://onlinelibrary.wiley.com/doi/book/10.1002/9781119197263; https://www.wiley.com/en-us/The+Market+Guys%27+Five+Points+for+Trading+Success%3A+Identify%2C+Pinpoint%2C+Strike%2C+Protect%2C+and+Act%21-p-9781119197263; https://sacredtraders.com/product/the-market-guys-five-points-for-trading-success-identify-pinpoint-strike-protect-and-act-by-a-j-monte-and-rick-swope/,"The book's best reliable rating is 3.49 from only 39 Goodreads reviews, falling below the 3.50 threshold with weak review-count confidence. It is a legitimate Wiley-published trading guide by credentialed authors (CMT, E*TRADE/CBOE affiliation), covering technical analysis and risk management, but community reception is tepid and engagement is low. The content is relevant to trading but not canonical or widely cited, warranting a human review rather than automatic retention or drop.",rating below 3.50 on goodreads; very low review count (39); semi-promotional title structure ('Five Points for Trading Success'); E*TRADE partnership raises mild commercial/educational seminar concern,59,The Market Guys' Five Points for Trading Success
62,Trend Trading For Dummies,Barry Burns,google_books,REVIEW_C,high,medium,review,ok,4.5,276,amazon,https://www.goodreads.com/book/show/20308898-trend-trading-for-dummies; https://us.amazon.com/Trend-Trading-Dummies-Barry-Burns/dp/1118871286; https://www.dummies.com/author/barry-burns-9347/; https://www.amazon.co.uk/Trend-Trading-Dummies-Barry-Burns/dp/1118871286,"The 'For Dummies' branding triggers the beginner/introductory red flag under policy, though it is a legitimate Wiley publication by a credible practitioner. Amazon rating is strong (4.5/276) but Goodreads is weak (3.7/54), and reviewer commentary suggests limited depth. The split reception and introductory nature make this a borderline case warranting human review rather than a clear keep or drop.",'For Dummies' beginner-oriented branding; Goodreads rating only 3.7/54 suggesting mixed reception among serious readers; described as 'superficial' by at least one reviewer,60,Trend Trading For Dummies
63,Investments,Mayo,google_books,KEEP_B,high,medium,keep,ok,3.95,78,goodreads,https://www.goodreads.com/book/show/55613658-investments; https://www.goodreads.com/author/show/3989483.Mayo_Herbert_B_Mayo_Herbert_B_; https://www.amazon.com/Investments-Introduction-Business-Available-CengageNOW/dp/0324289162; https://www.amazon.com/Investments-Introduction-Thomson-Business-Stock-Trak/dp/0324380151; https://www.cengage.com/c/investments-an-introduction-13e-mayo/9780357127957/; https://www.amazon.com/Investments-Introduction-Herbert-B-Mayo/dp/0030267919; https://www.goodreads.com/author/show/463316.Herbert_B_Mayo,"Mayo's 'Investments: An Introduction' is a long-running, credentialed academic textbook series (13+ editions via Cengage/Dryden) used as the text of choice by the College of Financial Planning, indicating strong institutional legitimacy. The aggregate series rating of 3.95 across 78 ratings is acceptable, and the author is a credentialed academic with 50+ years of teaching. Though the 1987 edition is dated, the series itself is a recognized introductory investments text with solid academic pedigree. No red flags are present.",,61,Investments
64,Technical Analysis of the Currency Market,Boris Schlossberg,google_books,KEEP_B,high,medium,keep,ok,3.0,1,google,https://www.goodreads.com/book/show/679455.Technical_Analysis_of_the_Currency_Market; https://www.amazon.com/Technical-Analysis-Currency-Market-Techniques/dp/0471745936; https://www.amazon.co.uk/Technical-Analysis-Currency-Market-Schlossberg/dp/B00XTBDOUU; https://www.earnforex.com/guides/book-review-technical-analysis-of-the-currency-market-boris-schlossberg/; https://www.oreilly.com/library/view/technical-analysis-of/9780471745938/; https://archive.org/details/technicalanalysi0000schl,"Published by Wiley in their Trading series, authored by a credentialed FX strategist with media presence at Bloomberg and CNBC, and covering a clearly relevant topic (technical analysis applied to currency/forex markets). The book is an original, legitimate work, not a summary or workbook. Reviewer consensus suggests it is introductory in nature but substantive enough for forex traders new to technical analysis, keeping it in KEEP_B territory rather than a higher tier given the lack of strong ratings evidence and noted limitations.","only 1 rating on Google Books, very weak signal; reviewers note beginner-level content and some factual inaccuracies; risk/reward strategies flagged as risky by some reviewers",62,Technical Analysis of the Currency Market
65,Risk Management in Trading,Davis Edwards,google_books,KEEP_B,high,medium,keep,ok,3.91,11,goodreads,https://www.goodreads.com/book/show/20308732-risk-management-in-trading; https://www.goodreads.com/shelf/show/trading-risk; https://www.amazon.com/Risk-Management-Trading-Techniques-Profitability/dp/1118768582; https://onlinelibrary.wiley.com/doi/book/10.1002/9781118819692; https://www.wiley.com/en-us/Risk+Management+in+Trading%3A+Techniques+to+Drive+Profitability+of+Hedge+Funds+and+Trading+Desks-p-9781118772843; https://www.oreilly.com/library/view/risk-management-in/9781118772843/,"Published by Wiley Finance with a credible author (FRM/ERP credentials, Deloitte/Bear Stearns/Macquarie background), this is a legitimate specialist text on trading risk management directly relevant to Atlas's scope. The 3.91 Goodreads rating is acceptable but based on only 11 reviews, so confidence is moderate. No red flags for low-quality or derivative content; the Wiley imprint and author credentials support keeping it as a credible specialist title.",very low review count (11) limits rating confidence,63,Risk Management in Trading
66,Investment Analysis & Portfolio Management,"Frank K. Reilly, Keith C. Brown, Brindha Gunasingham, Asjeet Lamba, Dr Frank Elston",google_books,KEEP_B,high,medium,keep,ok,,,none,https://www.goodreads.com/book/show/647422.Investment_Analysis_and_Portfolio_Management; https://www.goodreads.com/work/editions/633567-investment-analysis-and-portfolio-management; https://www.cengageasia.com/title/default/detail?isbn=9780170416030; https://www.booktopia.com.au/investment-analysis-portfolio-management-brindha-gunasingham/book/9780170416030.html; https://books.google.com/books/about/Investment_Analysis_Portfolio_Management.html?id=ji3LDwAAQBAJ; https://www.amazon.com/Investment-Analysis-Portfolio-Management-Reilly/dp/1305262999,"This is the Asia-Pacific regional adaptation of Reilly & Brown's long-established and highly regarded Investment Analysis and Portfolio Management textbook, published by Cengage AU with credentialed co-authors. The core US editions are widely used in professional and academic settings and carry strong reputations for rigorous, empirical coverage of investments and portfolio theory. No ratings are available for this specific ISBN, but the absence of ratings reflects regional scarcity rather than quality concerns. It earns KEEP_B rather than KEEP_A because it is a regionally adapted edition rather than the canonical source text itself.",,64,Investment Analysis & Portfolio Management
67,Investing and Risk Management,Robert Lawrence Kuhn,google_books,KEEP_B,medium,low,keep,ok,,,none,https://www.goodreads.com/author/list/170913.Robert_Lawrence_Kuhn; https://www.goodreads.com/book/show/80052514-the-library-of-investment-banking; https://www.encyclopedia.com/arts/educational-magazines/kuhn-robert-lawrence-1944; https://www.amazon.com/Robert-Lawrence-Kuhn/e/B001H6KWTK; https://www.ebay.com/itm/286740108801; https://www.thriftbooks.com/a/robert-lawrence-kuhn/326900/,"This volume is part of Kuhn's 7-volume 'Library of Investment Banking' published by Irwin/Dow-Jones Irwin (1990), a credible professional publisher, edited by a credentialed investment banker and academic. No individual volume ratings exist, but the series is a legitimate professional reference with no content red flags. The 35-year age limits practical relevance for modern investors, but it remains a credible specialist reference covering investing and risk management fundamentals. Rated KEEP_B rather than DROP_D due to credible authorship, reputable publisher, and direct relevance to Atlas's investing/markets scope.","35-year-old content may be outdated; part of multi-volume set, individual volume hard to assess separately",65,Investing and Risk Management
68,Strategies of Banks and Other Financial Institutions,Rajesh Kumar,google_books,KEEP_B,high,medium,keep,ok,,,none,https://www.amazon.com/Strategies-Banks-Other-Financial-Institutions/dp/012416997X; https://www.educate.elsevier.com/book/details/9780124169975; https://www.sciencedirect.com/book/9780124169975/strategies-of-banks-and-other-financial-institutions; https://shop.elsevier.com/books/strategies-of-banks-and-other-financial-institutions/kumar/978-0-12-416997-5; https://www.barnesandnoble.com/w/strategies-of-banks-and-other-financial-institutions-rajesh-kumar/1133477965,"A legitimate academic textbook published by Elsevier covering a broad range of financial institutions, markets, and strategies—directly relevant to Atlas's investing/trading/markets scope. The author is a credentialed finance professor with multiple peer-reviewed publications and other Elsevier books, and the book carries endorsements from Babson College faculty. No ratings are available, but the publisher credibility, academic author, and substantive coverage across banking, capital markets, derivatives, and alternative investments support KEEP_B status.",,66,Strategies of Banks and Other Financial Institutions
69,"Risk, Risk Management and Regulation in the Banking Industry",Peter Pelzer,google_books,REVIEW_C,medium,low,review,ok,,,none,https://www.amazon.co.uk/Risk-Management-Regulation-Banking-Industry/dp/0415508509; https://www.taylorfrancis.com/books/mono/10.4324/9780203100721/risk-risk-management-regulation-banking-industry-peter-pelzer; https://www.routledge.com/Risk-Risk-Management-and-Regulation-in-the-Banking-Industry-The-Risk-to-Come/Pelzer/p/book/9780415508506; https://www.researchgate.net/publication/287021907_Risk_Risk_Management_and_Regulation_in_the_Banking_Industry_The_Risk_to_Come; https://philpapers.org/rec/PELTI,"Published by Routledge in a reputable academic series on money and banking, with a credible author combining practitioner and academic credentials, this is a legitimate scholarly monograph. However, its Derridean philosophical framing of banking risk regulation places it at the margins of Atlas's investing/trading/markets/macro scope, and the complete absence of consumer ratings or reading-list traction makes audience appeal uncertain. A human reviewer should determine whether its philosophical depth on risk management adds sufficient value to Atlas's collection.",no consumer ratings or reviews found; highly niche philosophical angle (Derridean deconstruction) may limit practical relevance to investing/trading audience,67,"Risk, Risk Management and Regulation in the Banking Industry"
70,Quality Money Management,"Andrew Kumiega, Benjamin Van Vliet",google_books,KEEP_B,high,medium,keep,ok,,2,amazon,https://www.goodreads.com/book/show/16840249-quality-money-management; https://www.amazon.com/Quality-Money-Management-Engineering-Systematic/dp/0123725496; https://www.amazon.ca/Quality-Money-Management-Engineering-Systematic/dp/0123725496; https://shop.elsevier.com/books/quality-money-management/kumiega/978-0-12-372549-3; https://www.sciencedirect.com/book/9780123725493/quality-money-management; https://www.researchgate.net/publication/292826604_Quality_Money_Management; https://www.barnesandnoble.com/w/quality-money-management-andrew-kumiega/1111341261; https://books.google.com/books/about/Quality_Money_Management.html?id=azKPlAEACAAJ,"Published by Academic Press (Elsevier) in a specialist financial markets technology series, authored by IIT faculty and active trading industry practitioners, with endorsements from Institutional Investor and the American Society for Quality. The book addresses systematic trading and investment system development using quality engineering frameworks — directly relevant to Atlas's scope. No ratings data exists due to the specialist niche audience, which is typical for academic/professional quant texts, not a quality concern. No red flags for summary, workbook, or low-content issues.",,68,Quality Money Management
71,"Trade, Investment and Development: Reaping the Full Benefits of Open Markets",OECD,google_books,REVIEW_C,low,medium,review,ok,,,none,https://www.oecd.org/en/publications/1999/08/trade-investment-and-development-reaping-the-full-benefits-of-open-markets_g1ghgba0.html; https://www.oecd-ilibrary.org/trade/trade-investment-and-development-reaping-the-full-benefits-of-open-markets_9789264173309-en; https://www.oecd.org/content/dam/oecd/en/publications/reports/1999/08/trade-investment-and-development-reaping-the-full-benefits-of-open-markets_g1ghgba0/9789264173309-en.pdf; https://books.google.fr/books?id=UTD7Rct71JYC,"This is a credible OECD institutional report on trade and investment policy for development, confirmed across official OECD channels. However, it is a technical policy document aimed at policymakers and economists rather than investing or trading practitioners, placing it outside Atlas's core scope. No consumer ratings or appearances on investing/trading reading lists were found. Relevance to Atlas's retail investing/trading/macro audience is low, warranting human review before inclusion.","institutional policy report, not a trade/investing practitioner book; no ratings or reading-list mentions; 1999 vintage may be dated for policy context",69,"Trade, Investment and Development: Reaping the Full Benefits of Open Markets"
72,Credit Derivatives,Geoff Chaplin,google_books,KEEP_B,high,medium,keep,ok,4.0,1,goodreads,"https://www.goodreads.com/book/show/84039.Credit_Derivatives; https://www.amazon.com/Credit-Derivatives-Trading-Investing-Management/dp/0470686448; https://www.wiley.com/en-us/Credit+Derivatives:+Trading,+Investing,and+Risk+Management,+2nd+Edition-p-9780470686447; https://www.oreilly.com/library/view/credit-derivatives-trading/9780470689868/; https://onlinelibrary.wiley.com/doi/book/10.1002/9781119208631","A credentialed specialist text from Wiley Finance by a Cambridge/Oxford-trained mathematician and actuary with decades of credit derivatives market experience; the first edition is described as a 'must have' by industry insiders. The revised second edition addresses post-crisis developments directly relevant to Atlas's trading/financial-markets scope. Quantitative rating data is essentially absent (1 Goodreads rating), but author credentials, publisher reputation, and industry endorsements support keeping it as a credible specialist title.",,70,Credit Derivatives
73,Investment Risk Management,"Harold Kent Baker, Greg Filbeck",google_books,KEEP_B,high,medium,keep,ok,,1,amazon,https://www.amazon.com/Investment-Management-Financial-Markets-Investments/dp/0199331960; https://www.amazon.ca/Investment-Risk-Management-Kent-Baker/dp/0199331960; https://global.oup.com/academic/product/investment-risk-management-9780199331963; https://www.amazon.com/Investment-Management-Financial-Markets-Investments/dp/0199331960; https://global.oup.com/academic/product/investment-risk-management-9780199331963; https://global.oup.com/academic/product/investment-risk-management-9780199331963; https://pdfcoffee.com/financial-markets-and-investments-h-kent-baker-greg-filbeck-halil-kiymaz-private-equity-opportunities-and-risks-oxford-university-press-2015-pdf-free.html,"Published by Oxford University Press in their Financial Markets and Investments series, this academic edited volume on investment risk management is credible and highly relevant to Atlas's scope. Both editors have strong credentials (150+ refereed articles, CFA/FRM/CAIA designations), and the book received endorsements from the Financial Analysts Journal and a Kellogg School professor. The absence of consumer ratings is typical for expensive academic reference works and is not a red flag. Qualifies as a solid specialist reference, placing it at KEEP_B.",,71,Investment Risk Management
74,Energy Trading & Investing 2E (PB),Davis W. Edwards,google_books,KEEP_B,high,medium,keep,ok,3.94,109,goodreads,https://www.goodreads.com/book/show/6369960-energy-trading-and-investing; https://www.goodreads.com/book/show/34068325-energy-trading-and-investing; https://www.amazon.com/Energy-Trading-Investing-Management-Structuring/dp/1259835383; https://www.amazon.com/Energy-Trading-Investing-2E-PB/dp/1265915873; https://www.amazon.co.uk/Energy-Trading-Investing-2E-PB/dp/1265915873; https://www.skillsoft.com/book/energy-trading-and-investing-second-edition-290f96f0-485f-11e7-b81a-9e1a84a53452; https://books.google.com/books/about/Energy_Trading_Investing_2E_PB.html?id=w-2_DQAAQBAJ,"A credible, professionally published McGraw-Hill title by a practitioner with Deloitte/Macquarie/Bear Stearns credentials, covering energy trading and investing across fossil fuels and renewables. The 1st edition holds a 3.94 Goodreads rating from 109 raters, and reviewer comments describe it as a solid comprehensive overview suited to professionals and students alike. No red flags detected; this is a substantive reference work highly relevant to Atlas's energy markets and commodity trading coverage.",,72,Energy Trading & Investing 2E (PB)
