corpus_row,google_volume_id,title,subtitle,author,isbn_13,canonical_isbn_13,description,publisher,publication_year,categories,language,cover_url,quality_tier,relevance_tier,keep_source,duplicate_group,collapsed_count
80,Ot4IEAAAQBAJ,"Portfolio Management in Practice, Volume 1",Investment Management,CFA Institute,9781119743712,9781119743712,"Portfolio Management in Practice, Volume 1: Investment Management delivers a comprehensive overview of investment management for students and industry professionals. As the first volume in the CFA Institute’s new Portfolio Management in Practice series, Investment Management offers professionals looking to enhance their skillsets and students building foundational knowledge an essential understanding of key investment management concepts. Designed to be an accessible resource for a wide range of learners, this volume explores the full portfolio management process. Inside, readers will find detailed coverage of: Forming capital market expectations Principles of the asset allocation process Determining investment strategies within each asset class Integrating considerations specific to high net worth individuals or institutions into chosen strategies And more To apply the concepts outlined in the Investment Management volume, explore the accompanying Portfolio Management in Practice, Volume 1: Investment Management Workbook. The perfect companion resource, this workbook aligns chapter-by-chapter with Investment Management for easy referencing so readers can draw connections between theoretical content and challenging practice problems. Featuring contributions from the CFA Institute’s subject matter experts, Portfolio Management in Practice, Volume 1: Investment Management distills the knowledge forward-thinking professionals will need to succeed in today’s fast-paced financial world.",John Wiley & Sons,2020,Business & Economics,en,https://books.google.com/books/content?id=Ot4IEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,77,1
82,7_vxEAAAQBAJ,"Portfolio Management in Practice, Volume 2",Asset Allocation,CFA Institute,9781119787969,9781119787969,"Discover the latest essential resource on asset allocation for students and investment professionals. Part of the CFA Institute’s three-volume Portfolio Management in Practice series, Asset Allocation offers a deep, comprehensive treatment of the asset allocation process and the underlying theories and markets that support it. As the second volume in the series, Asset Allocation meets the needs of both graduate-level students focused on finance and industry professionals looking to become more dynamic investors. Filled with the insights and industry knowledge of the CFA Institute’s subject matter experts, Asset Allocation effectively blends theory and practice while helping the reader expand their skillsets in key areas of interest. This volume provides complete coverage on the following topics: Setting capital market expectations to support the asset allocation process Principles and processes in the asset allocation process, including handling ESG-integration and client-specific constraints Allocation beyond the traditional asset classes to include allocation to alternative investments The role of exchange-traded funds can play in implementing investment strategies An integrative case study in portfolio management involving a university endowment To further enhance your understanding of tools and techniques explored in Asset Allocation, don’t forget to pick up the Portfolio Management in Practice, Volume 2: Asset Allocation Workbook. The workbook is the perfect companion resource containing learning outcomes, summary overview sections, and challenging practice questions that align chapter-by-chapter with the main text.",John Wiley & Sons,2020,Business & Economics,en,https://books.google.com/books/content?id=7_vxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,79,2
83,SbIz2gRbrF4C,Pioneering Portfolio Management,"An Unconventional Approach to Institutional Investment, Fully Revised and Updated",David F. Swensen,9781416554035,9781416554035,"In the years since the now-classic Pioneering Portfolio Management was first published, the global investment landscape has changed dramatically -- but the results of David Swensen's investment strategy for the Yale University endowment have remained as impressive as ever. Year after year, Yale's portfolio has trumped the marketplace by a wide margin, and, with over $20 billion added to the endowment under his twenty-three-year tenure, Swensen has contributed more to Yale's finances than anyone ever has to any university in the country. What may have seemed like one among many success stories in the era before the Internet bubble burst emerges now as a completely unprecedented institutional investment achievement. In this fully revised and updated edition, Swensen, author of the bestselling personal finance guide Unconventional Success, describes the investment process that underpins Yale's endowment. He provides lucid and penetrating insight into the world of institutional funds management, illuminating topics ranging from asset-allocation structures to active fund management. Swensen employs an array of vivid real-world examples, many drawn from his own formidable experience, to address critical concepts such as handling risk, selecting advisors, and weathering market pitfalls. Swensen offers clear and incisive advice, especially when describing a counterintuitive path. Conventional investing too often leads to buying high and selling low. Trust is more important than flash-in-the-pan success. Expertise, fortitude, and the long view produce positive results where gimmicks and trend following do not. The original Pioneering Portfolio Management outlined a commonsense template for structuring a well-diversified equity-oriented portfolio. This new edition provides fund managers and students of the market an up-to-date guide for actively managed investment portfolios.",Simon and Schuster,2009,Business & Economics,en,https://books.google.com/books/content?id=SbIz2gRbrF4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,auto_keep_annotation,80,1
86,q80oFFsiI3kC,"Asset Allocation, 4th Ed",,Roger C. Gibson,9780071593908,9780071593908,"The definitive guidebook for successful long-term investing The third edition of Roger C. Gibson's Asset Allocation: Balancing Financial Risk was released in 2000 on the heels of the biggest bull market in a century and amidst talk of a new economy. The bear market that followed was the worst since 1973-1974 and resulted in the destruction of roughly half of the stock market's value. Through it all, Roger Gibson's advice to investors remained the same. Gibson once again offers techniques to design all-weather portfolios that improve long-term performance, while mitigating overall risks through widely varying market environments. Grounded in the principles of modern portfolio theory, this fourth edition of his investing classic explains how and why asset allocation works. Gibson demonstrates how adding new asset classes to a portfolio improves its risk-adjusted returns and how strategic asset allocation uses, rather than fights, the forces of capital markets to achieve investment success. Gibson also addresses the practical side of investing, advocating an approach based on a disciplined execution of the fundamentals--the most important things that investment professionals and lay investors need to focus on to achieve their financial goals. With more than two decades of experience managing clients' portfolios and expectations, he underscores the importance of identifying and working through the emotional and psychological traps that can impede investment success. In this new edition, Gibson offers his proven guidance on multiple-asset-class investing with updated exhibits and research. New topics include: A review of the 2000-2002 stock bear market in the context of bull and bear markets over the last 100 years An expanded discussion of the dangers of market timing Non-traditional asset classes such as real estate securities, commodity-linked securities, and TIPS in a diversified portfolio The challenges of “frame-of-reference” risk--the most significant danger confronting the multiple-asset-class investor The role of Monte Carlo simulation in retirement planning",McGraw Hill Professional,2008,Business & Economics,en,https://books.google.com/books/content?id=q80oFFsiI3kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,82,1
87,pUilEQAAQBAJ,Managing Your Firm's 401(k) Plan,A Complete Roadmap to Managing Today's Retirement Plans,Matthew X. Smith,9780470553008,9780470553008,"An objective resource for managing your firm's 401(k) plan With the recent uncertainty in the economy and financial markets, 401(k) plans are now under more scrutiny than ever. Written for finance and benefit professionals who are responsible for the management, operations, or oversight of their company's 401(k) plan, Managing Your Firm's 401(k) Plan offers a guide to designing and managing a 401(k) with a focus on financial, fiduciary, and regulatory standards. While there are plenty of books on 401(k) plans written for the individual investor, there are very few resources for professionals involved in 401(k) management. This book effectively fills that void It was specifically written for professionals involved in 401(k) management It includes regulatory and fiduciary information needed for compliance purposes It was created by experienced experts in the defined contribution plan arena Topics covered throughout this insightful guide include measuring retirement readiness, establishing plan governance, managing the plan's investment menu, monitoring record keeper performance, communicating effectively with employees, helping participants manage their retirement income, and much more.",John Wiley & Sons,2010,Business & Economics,en,https://books.google.com/books/content?id=pUilEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,medium,web_keep_b,83,1
89,kPfrA0qhG4AC,Mastering the Art of Asset Allocation : Comprehensive Approaches to Managing Risk and Optimizing Returns,Comprehensive Approaches to Managing Risk and Optimizing Returns,CFA David M. Darst,9780071463348,9780071463348,"Gain new insights into why asset allocation works and learn advanced investing strategies You know that asset allocation requires much more than cookie-cutter analysis. You want precise, detailed techniques for analyzing and applying asset allocation principles. The high-level, applications-oriented Mastering the Art of Asset Allocation examines the inner working of numerous asset allocation strategies and covers everything from ways to determine the portfolio value of various asset classes to insights into changing patterns of investment returns and standard deviations in different time periods and market environments.",McGraw Hill Professional,2006,Business & Economics,en,https://books.google.com/books/content?id=kPfrA0qhG4AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,85,1
90,_pZTS-QgMHcC,Global Asset Allocation,Techniques for Optimizing Portfolio Management,"Jess Lederman, Robert A. Klein",9780471593737,9780471593737,"Buying this book could be the smartest investment you make this season. If that sounds like a bold claim, just take a look at the list of contributors. In it you'll find the names of twenty-nine of the world's foremost experts in asset allocation. Over the course of twenty chapters, these accomplished institutional investors, academics, analysts, and traders school you in all of the hottest new portfolio management techniques now in use around the globe. Not another abstruse discourse on the theoretical pros and cons of asset allocation, Global Asset Allocation is a working, nuts-and-bolts guide for institutional investors. It outfits you with a set of versatile new tools and techniques designed to solve real-world problems and guide your portfolio management decision-making. While broad theoretical considerations are given their due, the lion's share of this book's coverage is commanded by cutting-edge technical issues such as mean variance optimization, allocating between styles of equity management, optimal fixed income portfolios, asset/liability forecasting, the critical time horizon, target asset allocation, and chaos theory. In addition to all of the traditional classes of asset allocations, Global Asset Allocation explores a number of new and emerging investment horizons. Foremost among these is ""the ultimate investment frontier,"" international markets, to which a sizeable portion of the book (all of Part Two) is devoted. You'll find in-depth discussions of the qualitative and quantitative aspects of global asset allocation, in which various experts describe the latest global asset allocation models, optimization methods, forecasting techniques, global bond and currency management strategies, risk and return analysis in country-to-country allocation strategies, active and passive management portfolio strategies, and much more. Offering world-class strategies for managing global portfolios, Global Asset Allocation is an essential resource for corporate finance professionals, pension plan sponsors, analysts, and portfolio managers looking to expand their repertoire of financial management skills. From asset liability forecasting and target asset allocation, to critical time horizon and implementing overlay strategies, this groundbreaking new guide educates institutional investors in state-of-the-art portfolio management strategies guaranteed to minimize risk while maximizing returns. Bringing you the combined insights and expertise of twenty-nine prominent investment experts from around the world, Global Asset Allocation is a working handbook, designed to guide your portfolio management decision-making and help you to solve real-world problems. * The latest asset allocation models, optimization methods, and forecasting techniques, including passive and active portfolio strategies * Includes six major chapters on global asset allocation, including currency management and emerging market investing Traders, portfolio managers...investment professionals of every ilk: read this book, and use the versatile new strategies, tools, and techniques it describes to give your investment skills a razor-sharp, winning edge.",Wiley,1994,Business & Economics,en,https://books.google.com/books/content?id=_pZTS-QgMHcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,86,1
91,cXsxQ1yzWwsC,Core-Satellite Portfolio Management,,J. Clay Singleton,9780071454834,9780071454834,"Active versus passive portfolio management is the most important policy decision institutional investors must make. In Core- Satellite Portfolio Management, J. Clay Singleton address this dilemma with the all-new core-satellite approach, which draws on the strengths of each style while eliminating the weaknesses. Prominent practitioners, consultants, and academics then join with the author to reveal how the revolutionary core-satellite method will improve investment performance for virtually every major asset class.",McGraw Hill Professional,2004,Business & Economics,en,https://books.google.com/books/content?id=cXsxQ1yzWwsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,87,1
92,CWrD8aoKejYC,Streetsmart Guide to Managing Your Portfolio,An Investor's Guide to Minimizing Risk and Maximizing Returns,Frank Yao,9780071380515,9780071380515,This title provides investors with: professional portfolio tools; clear explanation of the concept of portfolio management; definition of risk and how to measure risk for your own needs; the best ways to monitor and measure your portfolio; and real-world examples.,McGraw Hill Professional,2002,Business & Economics,en,https://books.google.com/books/content?id=CWrD8aoKejYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,88,1
93,COQoNN7mAnsC,The Theory and Practice of Investment Management,"Asset Allocation, Valuation, Portfolio Construction, and Strategies","Frank J. Fabozzi, Harry M. Markowitz",9780470929902,9780470929902,"An updated guide to the theory and practice of investment management Many books focus on the theory of investment management and leave the details of the implementation of the theory up to you. This book illustrates how theory is applied in practice while stressing the importance of the portfolio construction process. The Second Edition of The Theory and Practice of Investment Management is the ultimate guide to understanding the various aspects of investment management and investment vehicles. Tying together theoretical advances in investment management with actual practical applications, this book gives you a unique opportunity to use proven investment management techniques to protect and grow a portfolio under many different circumstances. Contains new material on the latest tools and strategies for both equity and fixed income portfolio management Includes key take-aways as well as study questions at the conclusion of each chapter A timely updated guide to an important topic in today's investment world This comprehensive investment management resource combines real-world financial knowledge with investment management theory to provide you with the practical guidance needed to succeed within the investment management arena.",John Wiley & Sons,2011,Business & Economics,en,https://books.google.com/books/content?id=COQoNN7mAnsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,89,1
94,-JosEQAAQBAJ,Asset Management and Institutional Investors,"Methods and Tools for Asset Allocation, Portfolio Management and Performance Evaluation","Ignazio Basile, Pierpaolo Ferrari",9783031598197,9783031598197,"This second edition of the book analyses the latest developments in investment management policy for institutional investors. It is divided into four parts, which have been updated to include the newest approaches and strategies in asset allocation, portfolio management and performance evaluation. The first part analyses the different types of institutional investors, i.e. institutions that professionally manage portfolios of financial and real assets on behalf of a wide range of individuals. This part goes on with an in-depth analysis of the economic, technical and regulatory characteristics of the various categories of investment funds and of other types of asset management products, which have a high rate of substitutability with investment funds and represent their natural competitors. The second part of the book identifies and investigates the stages of the investment portfolio management. Given the importance of strategic asset allocation in explaining the ex post performance of any type of investment portfolio, this part provides an in-depth analysis of asset allocation methods, illustrating the different theoretical and operational solutions available to institutional investors. The third part describes performance assessment, its breakdown and risk control, with an in-depth examination of performance evaluation techniques, returns-based style analysis approaches and performance attribution models. Finally, the fourth part deals with the subject of diversification into alternative asset classes, identifying the common characteristics and their possible role within the framework of investment management policy. This part analyses hedge funds, private equity, private debt, real estate, infrastructures, commodities and currency overlay techniques.",Springer Nature,2024,Business & Economics,en,https://books.google.com/books/content?id=-JosEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,90,1
95,KcbcDWIgzpQC,Dynamic Portfolio Theory and Management,Using Active Asset Allocation to Improve Profits and Reduce Risk,Richard E. Oberuc,9780071426695,9780071426695,Publisher Description,McGraw Hill Professional,2004,Business & Economics,en,https://books.google.com/books/content?id=KcbcDWIgzpQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,91,1
96,mFLNUdvuE0kC,Behavioral Investment Management: An Efficient Alternative to Modern Portfolio Theory,,"Greg B. Davies, Arnaud de Servigny",9780071746601,9780071746601,"A Powerful New Portfolio-Management Standard for an Investing World in Disarray “Three years of losses turn many smart investors with 30-year horizons into frightened investors with three-year horizons, driven to poor decisions by cognitive errors and misleading emotions. Greg B. Davies and Arnaud de Servigny combine great expertise from research and practice into smart portfolios that overcome cognitive errors and misleading emotions and drive investors to their long term goals.” —MEIR STATMAN, Glenn Klimek Professor of Finance, Santa Clara University, and author of What Investors Really Want “The coming of age of behavioral finance. An important book which uniquely combines up-to-date knowledge of both behavioral and quantitative finance to provide practical models grounded on robust understanding of investors as well as investments.” —SHLOMO BENARTZI, professor and co-chair, Behavioral Decision Making Group, UCLA Anderson School of Management “This book is both erudite and profound, and it acutely addresses the issues, controversies, and received wisdom of our troubled investment times. To comprehend it requires a considerable time commitment, but it may be a new investment classic.” —BARTON M. BIGGS, Managing Partner, Traxis Partners “Behavioral Investment Management first shows how modern portfolio theory can be extended to incorporate behavioral biases in individual decision making, and then demonstrates how this extended theory can be implemented to make investment decisions in a world that is very different from that assumed by traditional portfolio theory. All of this is accomplished in a coherent fashion with the use of easy-to-understand mathematics and is illustrated with data for a wide range of asset classes.” —RAMAN UPPAL, professor of finance, EDHEC Business School About the Book: The past few years have been dreadful for investment management. The quantitative analytics that serve as the foundation of modern finance have proven to be incapable of providing value to investors. Modern Portfolio Theory now appears desperately old-fashioned and obsolete for one simple reason—it does not work. Picking up where traditional quant theory leaves off, Behavioral Investment Management offers a new approach to dynamic investing that addresses critical realities MPT ignores, including investors’ emotional impact on investing. Written by leading money managers with expertise in both quantitative and behavioral finance, this cutting-edge guide shows institutional investment managers, retail investors, and investment advisors how to use the latest theories and techniques from the field of behavioral finance to construct better-performing portfolios. After systematically deconstructing MPT to illustrate why it does not work empirically, this one-of-a-kind book presents a reasonable framework for improving your ability to generate high-performing portfolios. The applicability and strategic consequences of this book’s approach set a new standard for portfolio development that will put you far ahead of the industry curve. Complete with a new paradigm of best practices in dynamic portfolio construction that incorporates, and compensates for, the emotional reactions of investors, this hands-on book shows you how to: Move away from an idealized market view to a more authentic perspective Use the provided toolset and strategies to realize superior performance in real-world markets Seamlessly adapt the new approaches and techniques into your day-to-day operations This book helps you gain a distinct advantage by providing micro and macro implications of applying behavioral science to investing. In addition to helping you better understand the needs of the individual investor, it examines the wealth management and pension fund industries and explains how behavioral science can create opportunities in these two sectors. When making your next investment decision, let Behavioral Investment Management help you factor in the biggest financial variable—the human influence.",McGraw Hill Professional,2012,Business & Economics,en,https://books.google.com/books/content?id=mFLNUdvuE0kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KEEP_B,high,web_keep_b,92,1
98,Q7IzEAAAQBAJ,Asset Allocation,From Theory to Practice and Beyond,"William Kinlaw, Mark P. Kritzman, David Turkington",9781119817710,9781119817710,"Discover a masterful exploration of the fallacies and challenges of asset allocation In Asset Allocation: From Theory to Practice and Beyond—the newly and substantially revised Second Edition of A Practitioner’s Guide to Asset Allocation—accomplished finance professionals William Kinlaw, Mark P. Kritzman, and David Turkington deliver a robust and insightful exploration of the core tenets of asset allocation. Drawing on their experience working with hundreds of the world’s largest and most sophisticated investors, the authors review foundational concepts, debunk fallacies, and address cutting-edge themes like factor investing and scenario analysis. The new edition also includes references to related topics at the end of each chapter and a summary of key takeaways to help readers rapidly locate material of interest. The book also incorporates discussions of: The characteristics that define an asset class, including stability, investability, and similarity The fundamentals of asset allocation, including definitions of expected return, portfolio risk, and diversification Advanced topics like factor investing, asymmetric diversification, fat tails, long-term investing, and enhanced scenario analysis as well as tools to address challenges such as liquidity, rebalancing, constraints, and within-horizon risk. Perfect for client-facing practitioners as well as scholars who seek to understand practical techniques, Asset Allocation: From Theory to Practice and Beyond is a must-read resource from an author team of distinguished finance experts and a forward by Nobel prize winner Harry Markowitz.",John Wiley & Sons,2021,Business & Economics,en,https://books.google.com/books/content?id=Q7IzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,94,1
100,g6iODwAAQBAJ,Portfolio Management,Theory and Practice,"Scott D. Stewart, Christopher D. Piros, Jeffrey C. Heisler",9781119397434,9781119397434,"A career’s worth of portfolio management knowledge in one thorough, efficient guide Portfolio Management is an authoritative guide for those who wish to manage money professionally. This invaluable resource presents effective portfolio management practices supported by their underlying theory, providing the tools and instruction required to meet investor objectives and deliver superior performance. Highlighting a practitioner’s view of portfolio management, this guide offers real-world perspective on investment processes, portfolio decision making, and the business of managing money for real clients. Real world examples and detailed test cases—supported by sophisticated Excel templates and true client situations—illustrate real investment scenarios and provide insight into the factors separating success from failure. The book is an ideal textbook for courses in advanced investments, portfolio management or applied capital markets finance. It is also a useful tool for practitioners who seek hands-on learning of advanced portfolio techniques. Managing other people’s money is a challenging and ever-evolving business. Investment professionals must keep pace with the current market environment to effectively manage their client’s assets while students require a foundation built on the most relevant, up-to-date information and techniques. This invaluable resource allows readers to: Learn and apply advanced multi-period portfolio methods to all major asset classes. Design, test, and implement investment processes. Win and keep client mandates. Grasp the theoretical foundations of major investment tools Teaching and learning aids include: Easy-to-use Excel templates with immediately accessible tools. Accessible PowerPoint slides, sample exam and quiz questions and sample syllabi Video lectures Proliferation of mathematics in economics, growing sophistication of investors, and rising competition in the industry requires advanced training of investment professionals. Portfolio Management provides expert guidance to this increasingly complex field, covering the important advancements in theory and intricacies of practice.",John Wiley & Sons,2019,Business & Economics,en,https://books.google.com/books/content?id=g6iODwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,96,1
102,L3d9nom4JPsC,Portfolio Management in Practice,,Christine Brentani,9780080480084,9780080480084,"As individuals are becoming more and more responsible for ensuring their own financial future, portfolio or fund management has taken on an increasingly important role in banks' ranges of offerings to their clients. In addition, as interest rates have come down and the stock market has gone up and come down again, clients have a choice of leaving their saving in deposit accounts, or putting those savings in unit trusts or investment portfolios which invest in equities and/or bonds. Individuals are becoming aware that they might need to top up government pension allocations. Likewise, corporations who run employee pension schemes have to ensure that they are able to cover their current and future liabilities. Investing in unit trusts or mutual funds is one way for individuals and corporations alike to potentially enhance the returns on their savings.Introduction to Portfolio Management covers the:*Theoretical underpinnings of portfolio management*Basics of portfolio construction*Constraints to be considered when building a client portfolio*Types of analysis used for asset allocation and stock selection*Main types of funds available to investors*Inspired from the basic entry level training courses that have been developed by major international banks worldwide.*Will enable MSc Finance students, MBA students and those already in the finance profession to gain an understanding of the basic information and principles underlying the topic under discussion*Questions with answers, study topics, practical ""real world"" examples and text with an extensive bibliography and references ensure learning outcomes can be immediately applied",Elsevier,2003,Business & Economics,en,https://books.google.com/books/content?id=L3d9nom4JPsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,98,1
104,O75mDwAAQBAJ,Advances in the Practice of Public Investment Management,"Portfolio Modelling, Performance Attribution and Governance","Narayan Bulusu, Joachim Coche, Alejandro Reveiz, Francisco Rivadeneyra, Vahe Sahakyan, Ghislain Yanou",9783319902456,9783319902456,"This book covers the latest advances in the theory and practice of public investment management. It includes the most up-to-date developments in the implementation of public asset management – including multiple contributions on portfolio allocation in varying interest-rate and credit-risk environments. Other highlights include implementation, performance attribution and governance issues surrounding reserves management, portfolio construction techniques appropriate for public investors and an in-depth discussion of the challenges to achieving international diversification.",Springer,2018,Business & Economics,en,https://books.google.com/books/content?id=O75mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,medium,web_keep_b,100,1
105,yt8wCwAAQBAJ,Buy and Hold is Still Dead (Again),The Case for Active Portfolio Management in Dangerous Markets,Kenneth R. Solow,9781630478162,9781630478162,"Status quo investing is dead, and a growing number of investors want to take advantage of the risk-reduction features of active management. In this second, expanded edition of his prophetic 2009 classic, Ken Solow reveals the secrets of the successful active manager as he walks you through the proprietary methods of his own firm. A provocative and thoughtful critique of the current state of the money management industry, ""Buy and Hold is Dead (AGAIN)"" remains an invaluable investment guide for our financially challenging times.",Morgan James Publishing,2016,Business & Economics,en,https://books.google.com/books/content?id=yt8wCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,101,1
107,rWW8AwAAQBAJ,Asset Management,A Systematic Approach to Factor Investing,Andrew Ang,9780199959334,9780199959334,"In Asset Management: A Systematic Approach to Factor Investing, Professor Andrew Ang presents a comprehensive, new approach to the age-old problem of where to put your money. Years of experience as a finance professor and a consultant have led him to see that what matters aren't asset class labels, but instead the bundles of overlapping risks they represent. Factor risks must be the focus of our attention if we are to weather market turmoil and receive the rewards that come with doing so. Clearly written yet full of the latest research and data, Asset Management is indispensable reading for trustees, professional money managers, smart private investors, and business students who want to understand the economics behind factor risk premiums, to harvest them efficiently in their portfolios, and to embark on the search for true alpha.",Oxford University Press,2014,Business & Economics,en,https://books.google.com/books/content?id=rWW8AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_A,high,web_keep_a,103,1
108,VEcREAAAQBAJ,Asset Management: Tools And Issues,,"Frank J Fabozzi, Francesco A Fabozzi, Marcos Lopez De Prado, Stoyan V Stoyanov",9789811225765,9789811225765,"Long gone are the times when investors could make decisions based on intuition. Modern asset management draws on a wide-range of fields beyond financial theory: economics, financial accounting, econometrics/statistics, management science, operations research (optimization and Monte Carlo simulation), and more recently, data science (Big Data, machine learning, and artificial intelligence). The challenge in writing an institutional asset management book is that when tools from these different fields are applied in an investment strategy or an analytical framework for valuing securities, it is assumed that the reader is familiar with the fundamentals of these fields. Attempting to explain strategies and analytical concepts while also providing a primer on the tools from other fields is not the most effective way of describing the asset management process. Moreover, while an increasing number of investment models have been proposed in the asset management literature, there are challenges and issues in implementing these models. This book provides a description of the tools used in asset management as well as a more in-depth explanation of specialized topics and issues covered in the companion book, Fundamentals of Institutional Asset Management. The topics covered include the asset management business and its challenges, the basics of financial accounting, securitization technology, analytical tools (financial econometrics, Monte Carlo simulation, optimization models, and machine learning), alternative risk measures for asset allocation, securities finance, implementing quantitative research, quantitative equity strategies, transaction costs, multifactor models applied to equity and bond portfolio management, and backtesting methodologies. This pedagogic approach exposes the reader to the set of interdisciplinary tools that modern asset managers require in order to extract profits from data and processes.",World Scientific,2020,Business & Economics,en,https://books.google.com/books/content?id=VEcREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,104,1
109,fjdYDwAAQBAJ,Portfolio Construction for Today's Markets,A practitioner's guide to the essentials of asset allocation,Russ Koesterich,9780857196309,9780857196309,"For most of the past 50 years the simplest asset allocation solution was often the best. A balanced portfolio of stocks and bonds provided the investor with good returns. Unfortunately, this approach is not likely to work as well in the future. Interest rates are close to historic lows, equity valuations and bond prices appear stretched, and global economic growth has slowed. Investors need a new asset allocation solution. In Portfolio Construction for Today's Markets, BlackRock Portfolio Manager and investment expert Russ Koesterich addresses this problem by describing the step-by-step approach to building a portfolio consistent with investor goals and suited to today’s market environment. This portfolio construction process is divided into six stages, beginning with setting objectives and moving through assessing risk tolerance, diversification, the importance of factors, generating return assumptions, and combining assets in a risk-controlled manner. In the final chapter, Mr Koesterich presents a highly useful summary of the five fundamental rules of asset allocation and a five-step checklist to follow when constructing portfolios. For investors and their advisors constructing portfolio in today's markets, this book is an indispensable new guide.",Harriman House Limited,2018,Business & Economics,en,https://books.google.com/books/content?id=fjdYDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,105,1
110,zbDmmWWKOkAC,Buy and Hold Is Dead (Again),The Case for Active Portfolio Management in Dangerous Markets,Kenneth R. Solow,9781600377938,9781600377938,"Patience May Be A Virtue, But It Isn't An Investment Strategy. The current academic and financial planning definitions of ""risk"" are changing at light speed, but the notion of what constitutes ""risky"" investment strategy for informed investors is still stuck in the dark ages. Wealth management expert Kenneth Solow takes a fresh look at the investment industry's reliance on Buy-and-Hold investing, exposing the flaws and potential dangers of this investment approach in secular bear markets. Patiently waiting for stocks to deliver historical average returns does not rise to the level of an investment strategy, according to Solow, who recommends a different approach called Tactical Asset Allocation. A provocative and thoughtful critique of the current state of the money management industry, Buy and Hold is Dead (AGAIN) is an invaluable investment guide for our financially challenging times.",Morgan James Publishing,2009,Business & Economics,en,https://books.google.com/books/content?id=zbDmmWWKOkAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,106,1
111,yVlAb08VCCkC,Global Asset Allocation,New Methods and Applications,"Heinz Zimmermann, Wolfgang Drobetz, Peter Oertmann",9780471445555,9780471445555,Reveals new methodologies for asset pricing within a global asset allocation framework. Contains cutting-edge empirical research on global markets and sectors of the global economy. Introduces the Black-Litterman model and how it can be used to improve global asset allocation decisions.,John Wiley & Sons,2003,Business & Economics,en,https://books.google.com/books/content?id=yVlAb08VCCkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,KEEP_B,high,web_keep_b,107,1
